"","x"
"54","@DrewTurner73 I’ll keep my eye out. Been using Kratom for a few days now and it really helps."
"55","#Kratom is a #psychoactivedrug which is used all over the world. It is native to the nations in Southeast Asia. The… https://t.co/OuT2IQhkNX"
"56","RT @HectorMcFlyCiH: Kratom. Blunt. And @esqfowlkes interview to start off the #am

@Producergrind"
"57","RT @KratomFact: RESEARCH KRATOM, DON'T BAN IT:  ""Based on these findings, we suggest that Mitragyna speciosa may well be utilized for novel…"
"58","RESEARCH KRATOM, DON'T BAN IT:  ""Based on these findings, we suggest that Mitragyna speciosa may well be utilized f… https://t.co/CIcOEqiEIN"
"59","RT @KratomFact: Kratom advocates praise decision to delay potential ban in Ohio

https://t.co/qnYHCUB7Bf"
"60","Kratom advocates praise decision to delay potential ban in Ohio

https://t.co/qnYHCUB7Bf"
"61","Selain akar bajaka, Saya mau tanaman kratom dan kava dibudidayakan dan dipatenkan"
"62","Kratom. Blunt. And @esqfowlkes interview to start off the #am

@Producergrind"
"63","RT @KratomGuyShow: Looks like Facebook doesn't like me giving away free kratom?! Went to post my new menu &amp; August promo to my Boston Krato…"
"64","Does anyone know of any social media platforms where you can create your own groups? I need a new place for my 2,00… https://t.co/n2tkWckXEq"
"65","Legislator says he introduced bill to keep kratom legal in Ohio to spur discussion
https://t.co/LIFRsRkeaT"
"66","RT @DrewTurner73: Appears that all the anecdotal evidence about alcohol use being diminished with Kratom consumption now has more science b…"
"67","RT @kratomscience: New from Kratom Science! More than just a kratom story, Nina Ajdin discusses her journey of survival through war, malnut…"
"68","@wicaksanawidii @VICE_ID @supriatno_dede Sambilan lah jual ganja kalo kratom sepi"
"69","RT @handballfreak69: @Peter_Grinspoon They need to take notice, every time they post all these unfounded lies, everyone puts nothing but po…"
"70","RT @kratomtweets: All of the Kratom trees are growing great. They can really handle a lot of rain and wind. A few of the trees blew over an…"
"71","RT @kratomtweets: I grow #Kratom

#memes
#IamKratom https://t.co/BWPyH3GFlo"
"72","@Peter_Grinspoon They need to take notice, every time they post all these unfounded lies, everyone puts nothing but… https://t.co/AqncR1PBPv"
"73","RT @michellelrhodes: KCPA filed on Ohio today. #kratom #ohioansforkratom #keepkratomlegal #followthescience #Kratomsaveslives 
https://t.co…"
"74","@GingerhairGrnEy @John69nj @AmandaLatronica @puppyluvr312 I’ve heard a bunch about Kratom just don’t know anything… https://t.co/Ljm8Ek0ono"
"75","Considering kratom? Consider these quick facts and learn more about it: https://t.co/FQhOZ9NUBT https://t.co/ecQyByC8XA"
"76","@JustAShell2 @John69nj @AmandaLatronica @puppyluvr312 Hey, when you go with withdraw get some Kratom, the dry powde… https://t.co/gPra9CVGxJ"
"77","I have a friend who God told me to be his friend...for years. He went deep into opioid addiction, fentanyl, kratom,… https://t.co/Y74nfMKANR"
"78","@Sam43701314 @312BreakingNews @MoogieMonsters @jillyannjiggs @LelenaPeacock @painadvocateAR @tonirtx @fostergram4… https://t.co/iMLxQ0Vl6h"
"79","@raaleh Czar of coordinating your Oakleys with your kratom strain"
"80","Kratom advocates praise decision to delay potential ban in Ohio https://t.co/SAwWo97yZ6 https://t.co/G19rBKhAk9"
"81","Inauguramos la tienda de venta de kratom en España y Portugal.- https://t.co/mWQfOiGTmD"
"82","#KeepKratomLegal
#StopTheBans
https://t.co/2ohh16TGf8"
"83","You can go to college here, enjoy tailgating and soak up the city's literary atmosphere, but you can't take kratom… https://t.co/ZtE01wGamh"
"84","RT @DrewTurner73: Some FDA Kratom FOIA goodness from the man @anthonyroberts. Please share this around and let's see what they contain.

#K…"
"85","legalkan kratom https://t.co/ErUHOuSBzF"
"86","Ohio kratom ban postponed for further review https://t.co/MI4dk1fjzH https://t.co/WKHVJEi9j9"
"87","RT @sorry_records: Dark Green energy and powdery goo coagulate to birth...

ART DLR - KRATOM ROCK

<ed><U+00A0><U+00BE><ed><U+00B7><U+00AA>Kratom Rock
ft. 
@GRANATATHEGRAPE

<ed><U+00A0><U+00BC><ed><U+00BD><U+00B5>Kra…"
"88","@myhydromate1 Dear sir/Mdm, my name is guru. i am from Indonesia. i am exporter of herbal product from Indonesia. i… https://t.co/e636cCi5W4"
"89","RT @TheKratomAssn: Celebrate the Ohio Victory by ordering a limited edition AKA shirt and hat! We're working with Custom Ink to sell AKA of…"
"90","RT @OhioPoliticsNow: Legislator says he introduced bill to keep kratom legal in Ohio to spur discussion https://t.co/XWHYFmSurz"
"91","@Justine Kratom. Well and puppies/kittens. https://t.co/z1LcipGt4s"
"92","RT @yeet_scrapz: cinnamon challenge but with kratom"
"93","RT @yeet_scrapz: cinnamon challenge but with kratom"
"94","RT @Peter_Grinspoon: What to do about Kratom? Regulate? Legalize? Restrict? Outlaw??
Does it treat pain and addiction? Is it dangerous?

#k…"
"95","cinnamon challenge but with kratom"
"96","RT @Peter_Grinspoon: What to do about Kratom? Regulate? Legalize? Restrict? Outlaw??
Does it treat pain and addiction? Is it dangerous?

#k…"
"97","Mo tanya2 ni pendapat kawan2 tentang kratom dan efeknya bagi kesehatan dan efeknya bagi bnn, dan apakah bnn perlu m… https://t.co/Qqv0U4pqD2"
"98","@jim_okc @Peter_Grinspoon Funny part is there has been more and more research that keeps pointing to very interesti… https://t.co/DZdCuuYe17"
"99","@MsAbigailMac @littlesexbuddha Is kratom legal in the usa?
They made it illegal in my country :("
"100","@IwriteOK Damn we will be there in November hopefully filming. Would have been awesome linking up in relation to th… https://t.co/udKL5BuRhW"
