consignee,numManufacturers,numImporters,frac of KG shipped when manu equals shipper,normalizedWeight,numUSports,consignee inexperienced,avg dist manu - place of receipt,avg dist place of receipt - foreign port,transnatl manu - place of receipt,transnatl place of receipt - foreign port,distance consignee - US port,shipment variation,manufacturer variation,manufacturer dispersion,chineseShipments,numSampled,numRefused,inspected prior to 2008,inspected in 2008,bad inspection in 2008
Southwind Foods LLC dba Great American Seafood Imports Co.,1,1,1.0,1.7916825112285804,1,0.0,NaN,NaN,1.0,0.0,4.212968232817862,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
"MEGUMI GLOBAL TRADING, INC",1,1,1.0,0.2735144388387521,1,0.0,1.3110433592750395,3.1548390200680765,0.0,1.0,3.3966874359924706,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tri-Union Frozen Products DBA Chicken of the Sea,2,1,1.0,0.28865993880759294,2,0.0,1.9306138990414696,0.0,1.0,1.0,3.4200936935149087,0.0,0.0,0.2936728466580443,0.0,0.0,0.0,0.0,0.0,0.0
Sea Harvest Seafood Co,1,1,0.0,1.5428376966675992,1,0.0,2.122923200159875,3.2292670422964873,1.0,1.0,4.148027419879303,0.0,0.0,-0.0,0.0,0.0,0.0,1.0,0.0,0.0
"International Gourmet Fisheries, Inc. (DBA Red Chamber)",2,1,1.0,1.754853026180958,1,0.0,2.0249746596831018,4.082694475508456,0.0,0.0,4.203947927248698,0.0,0.0,0.6929269327058065,1.0,0.47712125471966244,0.0,0.0,0.0,0.0
Rema Foods Inc,1,1,1.0,0.09207258797086948,1,1.0,2.3369570716586625,3.097607234806105,0.0,0.0,2.923837528740572,0.0,0.0,-0.0,0.0,0.0,0.0,1.0,0.0,0.0
"Blackhawk Marketing, Llc",1,1,1.0,1.6423155169040602,1,0.0,2.122923200159875,3.2292670422964873,0.0,1.0,4.175163774491954,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Pacific Coral Seafood, Inc.",2,1,1.0,0.2936368636264739,2,0.0,NaN,NaN,0.0,1.0,3.4275177549622042,0.0,0.0,0.3808725898389388,0.0,0.0,0.0,0.0,0.0,0.0
Admiralty Island Fisheries Inc,2,1,1.0,1.1257740045662121,2,0.0,0.0,2.6098709776530233,0.0,1.0,4.011158394368089,0.0,0.0,0.001448639886011909,0.6666666666666666,0.0,0.0,1.0,0.0,0.0
"H & T Seafood, Inc.",1,1,NA,NaN,1,NA,0.0,3.1500359142909513,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
American Seafood Imports Inc.,1,1,1.0,0.6768578253839332,1,0.0,2.978061480194802,3.4158873585552847,NaN,NaN,3.790204632598444,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inter-Ocean Seafood Traders Inc,1,1,1.0,0.04575397986030151,1,1.0,0.0,2.9617138607896445,NaN,NaN,2.6201360549737576,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
Intl Marketing Specialists Inc,1,1,1.0,0.2986137335844677,1,0.0,NaN,NaN,NaN,NaN,3.434816955838233,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aqua Beauty Inc,2,1,0.5520995362097956,1.6000720303498506,1,0.0,2.8183976163790962,3.863759605118659,NaN,NaN,4.163846711999368,0.0,0.0,0.6877085906204634,0.0,0.0,0.0,1.0,0.0,0.0
Rich Products,1,1,1.0,1.003342206288005,1,0.0,NaN,NaN,NaN,NaN,3.9611562598240626,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lawrence Wholesale Llc,1,1,0.0,0.47778203956821286,1,0.0,2.5284609874895176,3.2935620533313807,NaN,NaN,3.6389369983351236,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ruby Pacific Llc,1,1,0.0,0.925722609307827,1,0.0,2.8183976163790962,3.863759605118659,NaN,NaN,3.926188049107206,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tri-Union Frozen Foods Inc,1,1,0.0,1.0946682473069094,1,0.0,1.930598931279384,0.0,NaN,NaN,3.998989699119196,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Expack Seafood, Inc.",2,2,1.0,0.8647721637145477,2,0.0,2.550800983495213,0.0,NaN,NaN,3.896608879891588,0.0,0.0,0.317163610383784,0.0,0.0,0.0,1.0,0.0,0.0
Seajoy Seafood Corporation,1,1,1.0,0.41805927090696443,1,0.0,0.0,3.9635211583235717,NaN,NaN,3.5809450371095886,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Contessa Premium Foods, Inc.",1,1,0.0,0.8246717079940109,1,0.0,0.0,1.7058600782472069,NaN,NaN,3.8759882737750817,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1.0,0.0
Ocean Bistro Corp,4,1,1.0,0.990414128515775,1,0.0,1.0124873298415509,3.3462827265807396,NaN,NaN,3.955524005338106,0.0,0.0,1.0784158960879109,0.5,0.3010299956639812,0.0,0.0,0.0,0.0
Ocean Duke Corp,1,1,0.0,1.594597407562993,1,0.0,NaN,NaN,NaN,NaN,4.162358231991993,0.0,0.0,-0.0,1.0,0.3010299956639812,0.0,0.0,0.0,0.0
Colorado Boxed Beef Co.,1,1,NA,NaN,1,NA,1.6378010815490882,3.1340084549497296,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pioneer Seafood Trading Company Llc,1,1,0.0,1.119801610663528,1,0.0,NaN,NaN,NaN,NaN,4.008848266119529,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
G & L Seafood Inc,1,1,0.0,0.023889063575789654,1,1.0,2.8183976163790962,3.863759605118659,NaN,NaN,2.3379063045260295,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
"World Wide Food Products, Inc.",1,1,1.0,1.9977260685959761,1,0.0,NaN,NaN,NaN,NaN,4.260243115110105,0.0,0.0,-0.0,0.0,0.0,0.0,1.0,1.0,1.0
Seafood Sales Inc.,1,1,1.0,1.7916825112285804,1,0.0,2.1131753240418076,3.292925179999387,NaN,NaN,4.212968232817862,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Family Delight Foods, Inc",1,1,NA,NaN,1,NA,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,1.0,0.3010299956639812,0.3010299956639812,0.0,0.0,0.0
"The Seafood Exchange Of Florida, Inc.",1,1,1.0,0.9106226987361851,2,0.0,1.847481934510024,0.0,NaN,NaN,3.9190456498898,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Sahlman Seafoods, Inc.",1,1,1.0,0.09207258797086948,1,1.0,1.3987728717442045,2.5294480076060952,NaN,NaN,2.923837528740572,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hanwa American Corp,1,1,1.0,0.14731607492032664,1,0.0,2.1131753240418076,3.292925179999387,NaN,NaN,3.1279573173176747,0.0,0.0,-0.0,0.0,0.0,0.0,1.0,0.0,0.0
Harvest Valley Inc.,1,1,1.0,0.03583370508545873,1,1.0,2.0059548880421314,3.459147585389728,NaN,NaN,2.513998893380958,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
all harvest trading LLC,1,1,1.0,0.398151681353215,1,0.0,NaN,NaN,NaN,NaN,3.559755732340511,0.0,0.0,-0.0,0.0,0.3010299956639812,0.3010299956639812,0.0,0.0,0.0
"L & N Trading, Inc",1,1,1.0,21.361512784274296,1,0.0,NaN,NaN,NaN,NaN,5.289339183700867,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Rubicon Resources, Llc",1,1,1.0,1.5926115531709268,1,0.0,1.9314792283842406,3.6631883903071034,NaN,NaN,4.161817040167692,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Torry Harris, Inc.",1,1,1.0,2.1052269644088035,1,0.0,NaN,NaN,NaN,NaN,4.283006102254977,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1.0,0.0
"High Liner Foods, Inc.",1,1,1.0,0.7241637100191607,1,0.0,2.8892856549768764,3.5666570274980907,NaN,NaN,3.8195439355418688,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sunnywell Seafood Trading Company Co.,1,1,1.0,0.7330968179911183,1,0.0,NaN,NaN,NaN,NaN,3.8248685127475643,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
"La Gloria Shrimp Imports, Llc",1,1,1.0,0.4976896291219623,1,0.0,1.930598931279384,3.240020269092739,NaN,NaN,3.6566657692849525,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Arista Industries, Inc.",1,1,1.0,1.194455044059645,1,0.0,1.1786042204936416,3.1396910165923737,NaN,NaN,4.0368769870601735,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pacific American Fish Co Inc,1,1,0.0,1.853396071761736,1,0.0,3.9243946660976023,3.9878444829796833,NaN,NaN,4.2276754165009045,0.0,0.0,-0.0,0.0,0.0,0.0,1.0,0.0,0.0
"Nongshim America, Inc.",1,1,1.0,0.03703109880779799,1,1.0,NaN,NaN,NaN,NaN,2.5282737771670436,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
NPN Seafood Corporation,1,1,1.0,0.6211166404664993,1,0.0,2.386444444946046,3.182315776245028,NaN,NaN,3.752880342970042,0.0,0.0,-0.0,0.0,0.3010299956639812,0.3010299956639812,0.0,0.0,0.0
