"consignee","product","weightKG"
"BAY HILL SEAFOOD SALES LLC","ONE CONTAINER WITH: 234 CARTONS WITH FROZEN WHITING FILLETS, SKINLESS, FEW BONES INTERLEAVED. GRADED 2/4, 4/6, 6/8 OZ. NET WEIGHT: 4245.70 KGS. 816 CARTONS WITH FROZEN WHITING FILLETS, SKIN ON, FEW BONES INTERLEAVED. GRADED 2/4, 4/6, 6/8 OZ. NET WEIGHT: 14805.50 KGS. 450 CARTONS WITH FROZEN FLOUNDER FILLETS SKIN O N, FEW BONES, INTERLEAVED. GRADED 1/3, 3/5, 5/8, 8/10, 10/12 OZ. NET WEIGHT: 8164.80 KGS. TOTAL CARTONS: 1500 TOTAL NET WEIGHT: 27216 KGS. HS CODE : 0304.74/ 0304.89 SIM:14037EC01009424N FACILITY REGISTRATION NUMBER FDA 17553052382 FREIGHT PREPIAD ABROAD",28700
"PREFERRED FREEZER SERVICES, FFD","DEEP FROZEN SMOKED SLICED SALMON 1100 CARTONS DEEP FROZEN SMOKED SLICED SALMON TWO-PACK 1.5LB / 12 BOX LOADED ON 20 PALLETS GROSSWEIGHT 10.053,12 KG NET WEIGHT 8.976 KG 720 CARTONS DEEP FROZEN NORWEGIAN SMOKED SALMON SLICES COSTCO FOPPEN 35PC/BOX LOADED ON 20 PALLETS GROSSWEIGHT 9.620,35 KG NET WEIGHT 8.589,60 KG REF. PROCO 14112 FREIGHT PREPAID THC USA PREPAID @JONATHAN@NYCB.COMREEFER CONTAINER TEMPERATURE SET AT -20.0 DEGREES C.",19673
"COSTCO WHOLESALE CORPORATION","LIFETIME KIDS STACKING CHAIR LIFETIME KIDS STACKING CHAIR IF APPLICABLE CPSIA URL-WWW.COSTCOCPSIA.COM . THIS SHIPMENT CONTAINS NO SOLID WOOD PACKING MATERIALS THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME",8666
"ALBERT USTER IMPORTS INC","BAKERY IMO PACKING MATERIAL 4819.2000 PASTRY / MOUSSE MIX & FRUIT COMPOUNDS 3302.1090 BREAD MIX 1901.9094 FOOD COLORS 3204.1900 CORNETS 1905.9060 BAKED TARTLETS 1905.9083 BREAD MIX 1901.9094 CORNETS 1905.9060 PASTRY / MOUSSE MIX & FRUIT COMPOUNDS 3302.1090 GELATINE / HAZELNUT WHOLE & FLOUR 3212.9000 11 FIBREBOARDBOXES 84,954 KGS 1 FIBREBOARDBOXES 6,450 KGS EXTRACTS, FLAVOURING, LIQUID LIMITED QUANTITY UN-NUMBER 1197 27 FIBREBOARDBOXES 130,000 KGS UN1950 AEROSOLS FLAMMABLE CLASS 2.1 PG 11 FLASH POINT -80 C NOT MARINE POLLUTANT EMS F-D S-U LIMITED QUANTITY EACH CONTAINING 12 PCS OF SPRAY IN ALUMINIUM RECEPTACLES WITH CAPACITY OF 400 ML. 15 FIBREBOARDBOXES 22,000 KGS UN1950 AEROSOLS FLAMMABLE CLASS 2.1 PG 11 FLASH POINT -80 C NOT MARINE POLLUTANT EMS F-D S-U LIMITED QUANTITY EACH CONTAINING 12 PCS OF SPRAY IN ALUMINIUM RECEPTACLES WITH CAPACITY OF 100 ML. 39 FIBREBOARDBOXES 178,000 KGS UN1950 AEROSOLS FLAMMABLE CLASS 2.1 PG 11 FLASH POINT -80 C NOT MARINE POLLUTANT EMS F-D S-U LIMITED QUANTITY EACH CONTAINING 12 PCS OF SPRAY IN ALUMINIUM RECEPTACLES WITH CAPACITY OF 400 ML. 5 FIBREBOARDBOXES 9,000 KGS UN3089, METAL POWDER, FLAMMABLE, N.O.S. CLASS 4.1, PACK.GROUP III, EMS F-G, S-G, LIMITED QUANTITY CONTAINING 25 INNER RECEPTACLES 12 FIBREBOARDBOXES 15,000 KGS UN1309, METAL POWDER, FLAMMABLE, N.O.S. CLASS 4.1, PACK.GROUP III, EMS F-G, S-G, LIMITED QUANTITY CONTAINING 25 INNER RECEPTACLES ON 26 PALLETS",5051
"LIMSON TRADING, INC.","CRTS.672 CANNED TOMATOES KOS.13.593.60 HS CODE 210390 CRTS. 96 STRAINED TOMATOES KOS.1152 HS CODE 200290",14746
"HELLMANN WORLDWIDE LOGISTICS LTD.","17 PALLETS(OTHER NOT DEFINED)",24767
"WAL-MART STORES, INC.","FCL/FCL PO NO. 5051817476 ITEM NO. 1805317 COLLAPSIBLE CARRIER HTS CODE : 9505906000 DEPARTMENT NO.: 00018 GLN:0078742000008 PO TYPE:0043 HUNGHOM, KOWLOON, HONG KONG S/C :05-0242 FREIGHT COLLECT TOTAL:1/3 PART OF 1X40-HQ CONTAINER ONLY SEE OTHER BILLS:SZ2531063,SZ2531064",17019
"CHETAK CHICAGO","HS CODE11010000, SUJATA CHAKKI ATTA (WHEAT F .",17480
"HELLMANN WORLDWIDE LOGISTICS SA DE","4 PACKAGES 902.4 KGM 2.611 MTQ AUTOMOTIVE PARTS - STACKABLE - 2 FOLD FILE NO: 270 6109 HS 8708306 3 PACKAGES 630 KGM 0.672 MTQ AUTOMOTIVE PARTS - NOT STACKABLE - FILE: 270 6184 5 PACKGS. 618.2 KGM 3.84 MTQ AUTOMOTIVE PARTS - STACKABLE - FILE NO. 270 2230 HS CODE 4016 9900 4 PACKAGES 1438 KGM 2.016 MTQ AUTOMOTIVE PARTS - NOT STACKABLE - FILE NO. 270 2447 3 PACKAGES 199.6 KGM 2.7 MTQ AUTOMOTIVE PARTS - STACKABLE - 3 FOLD FILE 270 2496 1 PACKAGE 204.1 KGM 0.96 MTQ AUTOMOTIVE PARTS - NOT STACKABLE - FILE NO. 270 2591 2 PACKAGES 420 KGM 0.672 MTQ AUTOMOTIVE PARTS - NOT STACKABLE - FILE: 270 3448 2 BOXES 669.8 KGM 3.735 MTQ AUTOMOTIVE PARTS FILE: 270 3475 - STACKABLE - HS 40169300 1 PLCASE 354 KGM 0.585 MTQ AUTOMOTIVE PARTS - STACKABLE - FILE NO 270 3497 3 PACKAGES 375 KGM 1.632 MTQ AUTOMOTIVE PARTS FILE NO. 270 0182 - NOT STACKABLE - 2 CASES 272.7 KGM 2.688 MTQ AUTOMOTIVE PARTS - NOT STACKABLE - FILE NO. 270 7154 HS CODE 3926 9097 6 PACKAGES 10.9 KGM 0.128 MTQ AUTOMOTIVE PARTS - STACKABLE - FILE NO: 270 7358 1 PACKAGE 97 KGM 0.576 MTQ AUTOMOTIVE PARTS - NOT STACKABLE - FILE NO. 270 7373 FRIEGHT PREPAID GENERAL CMA CGM TERMS AND CONDITIONS TO BE FUNDER CMA-CGM.COM THIS MASTER BILL COVERS 13 NON-AUTOMATED NVHOUSE BILLS: HBG915621, HBG915650, HBG915667, HBG915690, HBG915691, HBG915692,HBG915694, HBG915701, HBG915705, HBG915707, HBG915710,HBG915715, HBG915720 TOT PKGS 70 PK",10091
"MBM SUPPLY LLC C/O RELATED LP","KITCHEN CABINETS CARCASS",12396
"COSTCO WHOLESALE CANADA LTD","BODYGLOVE BODYBOARD P.O. 573-0816-292 HS CODE 950629 FREIGHT COLLECT DECLARE SCHENKERCOS",1581
"UNITED CARGO MANAGEMENT INC 19401","STUFFED TOYS HS CODESTUFFED TOYS HS CODE9503002100 IT WAS SAID BYSHIPPER THAT THIS SHIPMENTCONTAINS NO WOODEN PACKINGMATERIALS",9534
"ORCA BAY SEAFOODS INC.","FROZEN WILD FLOUNDER FILLETS IQF SKINOFF AND BONELESS,CHEM FREE -18 DEGREE WE CERTIFY THAT THIS SHIPMENT CONTAINS NO WOOD PACKING MATERIAL FREIGHT PREPAID AT BUSAN",16000
"GLOBAL FOOD IMPORTERS INC","SOUR CHERRY JUICE 1L /1,10 2 CASES/13,224 BOTTLES GRO SS WEIGHT: 20,387.00 KG",20387
"WAL-MART STORES, INC.","LICENSED HOPSCOTCH PDQ P.O.NO.:9806688525 ITEM NO. : 779785 HTS CODE : 9504906000 DEPARTMENT NO.: 00007 GLN:0078742000008 PO TYPE:0023 PURCHASE ORDER NUMBER: 9806688525",1603
"JAYONE FOODS INC.","TJ CRUNCH RICE ROLLS",4718
"HELLMANN WORLDWIDE LOGISTICS INC.","POLISHED SLABS 01X20 OPEN TOP CONTAINER CONTAINING: 07 WOODEN CRATES WITH 41 POLISHED SLABS WITH 03CM THICKNESS. NCM:6802.29.00 NALADI:6802.29 FOB RE:12/6355904-001 DE:2121093014/5 VT-6473/2012 HBL:SAOJAXC01342 SCAC CODE: POLN SEAL: BOLT4082454 FREIGHT COLLECT SHIPPED ON BOARD",19739
"QUIRCH FOODS",".CARGO IS STOWED IN A REFRIGERATED CONTAINERAT THE SHIPPER-S REQUESTED CARRYING TEMPERATUOF -18 DEGREES CELSIUS1 X 40 RH 1202 CARTON WITH GUTTED FROZEN FISH1141 CARTONS WITH CARIBBEAN RED SNAPPER - NCM0303.79.3320.702,00 KG NW17 CARTONS WITH LANE SNAPPER - NCM 0303.79.90308,00 KG NW44 CARTONS WITH B-LINER - NCM 0303.79.90798,00 KG NWTEMPERATURE: -18 CFDA NR 16170761338DDE 2100965054/8RE 10/1293636-001 AT 002",28140
"HELLMANN WORLDWIDE LOGISTICS INC.","MENS TOPSMENS TOPS",10191
"WAL-MART STORES, INC.","FCL/FCL TOYS - DIE CAST CARS 1:64 HIGH PROFILE PO NO: 0501902414 ITEM NO. 718697 L/C NO.: 108011339108-S WMS G-LOCATION NO. 0078742000008 HTS CODE: 9503.00.00.80 PO TYPE: 0023 DEPT: 00007 S/C :05-0242 FREIGHT COLLECT TOTAL:7/10 PART OF 1X40-HQ CONTAINER ONLY SEE OTHER BILLS: SZ2530869 SZ2530871 SZ2530872 SZ2530873 SZ2530874 SZ2530870 SZ2530876 SZ2530877 SZ2530878",4072
"COSTCO WHOLESALE CORPORATION999 LAK","OUTDOOR SEAT PAD PO 171-0911361 S-C#GB12-0122 AMS PREPAID IF APPLICABLE CPSIA URL -WWW. COSTCOCPSIA.COM FREIGHT COLLECT",1848
"D&T FOODS CO.","FROZEN PRODUCTS: FROZEN SUGAR-CANE, FROZEN DURIAN MONTHONG SEEDLESS, FROZEN HEADLESS GUTTED GOURAMI FISH, FROZEN SNAKEHEAD BONELESS, FROZEN WHOLE LAYANG SCAD, FROZEN WHOLE FRIGATE MACKEREL. CONTAINER TO BE SET AT MINUS 18 DEG CELSIUS",23020
"PEGASUS MARITIME INC","1355(ONE THOUSAND THREE HUNDRE D FIFTY FIVE) CARTONS ONLY CON TAINING HANDICRAFTS/ARTWARES O F ALUMINIUM STAINLESS STEEL & IRON HS CODE : 761699,732 690",6975
"PEGASUS MARITIME INC.","PAPER BOARD LAMINATED LIDS 9' ROUND PAPER BOARD LAMINATED LIDS 7' ROUND PAPER BOARD LAMINATED LIDS H.S. CODE : 48195090 HBL NO: DW129 SCAC CODE: PGSM FREIGHT COLLECT",16355
"PURCELL INTERNATIONAL","24/14 OZ. ARTICHOKE HEARTS 10/12 COUNT. 'WEGM ANS' B RANDP.O. PRCL23933FDA REGI STRATION NU MBER 1651099 9552TARIFF CODE 200590EXP RESS B/L",19800
"LAWRENCE HILMAN","SAILYACHT ON CRADLEYACHT MATERIALS SWAN 'SO FAR'",26000
"WAL-MART STORES, INC.","Z-BEAM RACK, 6 SHELF PO# 4895638178 TOTA L SETS 6480 ITEM# 631384 509 BAR CODE NO. 00-4180 4-97589-7 HTS 9403.20.00 .20 PO TYPE 20 DEPT NO. 00063 GLN 0078742000008 SAME 20 DEPT NO. 00063 GLN 0078742000008 FCL/F CL TOTAL EIGHTEEN CONTAINERS ONLY. FREIGHTCOLLECT ===SEAWAY BILL== =",281880
"TOYOTA TSUSHO AMERICA, INC.","8,000 PCS OF KENAF FIBER BOARD HS NUMBER 5 603.94.0000 CONNECTING ONTO MV HANJIN AMSTERD AM V.044E AT SINGAPORE",5488
"SUPERVALU INC","PAPER GIFT BAGSHIPPERS DESIRE TO STATE THATPO# 09011608BUNNY STRIPES ONGREEN BASKET MATEHS CODE : 4819400040REF.: 754027",503
"TO ORDER OF MPI FISHERIES IMPORTS","FROZEN RAW HLSO WHITE SHRIMP FDA REG.NO.FOR PACKER:1710472 D TRANSPORTED IN REEFER CONTAI ECLARED: THIS SHIPMENT CONTAI ESS: MAERSK INC. 2 GIRALDA , NJ USA TEL:+1 (800) 321-",18298
"TAE BONG AMERICA, INC.","FRESH WONWHANG PEARS",16320
"HANWA AMERICAN CORP.","STEEL BEAMSBUNDLES1251 PCS OF H-BEAM ASTM 36 - A572G50- A992 -HYD PO NO.: 46201011A006P.O NO. #1145GRIEG STAR SHIPPING INC.1330 N. AVALON BLVD. WILMINGTON, CA 90744TEL. +1 310 233 2720FREIGHT PREPAID",824766
"UNITED CARGO MANAGEMENT, INC.","MENS WHITE A SHIRTS",10940
"SUPERVALU INTERNATIONAL","CANNED TUNABUYERS PO# 78469519'ESSENTIAL EVERYDAY' BRAND896 CARTONSTUNA CHUNK IN WATER WITHVEGETABLE BROTH 48 5 OZ.300 CARTONSTUNA CHUNK IN BRINE WITHVEGETABLE BROTH 24 12 OZ.224 CARTONSTUNA CHUNK IN WATER WITHVEGETABLE BROTH 12X4 5 OZ.630 CARTONSTUNA SOLID IN WATER WITHVEGETABLE BROTH 24 5 OZ.300 CARTONSTUNA SOLID IN BRINE WITHVEGETABLE BROTH 24 12 OZ.HTS NO.1604.14.N.W.:14,676.96KGS.SHIPPERS DESIRE TO STATE THATSHIPPERS LOAD & COUNTON BOARD VESSEL:HANJIN XIAMEN V.0036EAT LAEM CHABANG ON 09.SEP.2012",18814
"HIGH LINER FOODS INC.","FROZEN HADDOCK FILLETS SET TEMP: -20-C 1X40-RH FREIGHT PREPAID THIS SHPT CONTAINSNO SOLID WOOD PACKING MATERIAL.",22547
"UPS SUPPLY CHAIN SOLUTIONS","9 PCE FORKLIFTS PARTS UPS B/L 7043375746 UPS SCAC UPOF SC 5123947A06",16800
"APS (ASSOCIATED PROD. SERV.)","18 BIG-BAGS AT 800 KOS 1 BIG-BAG AT 270 KOS",16976
"QUEEN APPAREL NY, INC","WOVEN PANTS",603
"BRUNSWICK CORPORATION","CONVERSION TABLE TOP;NET CLIP",18438
"HELLMANN WORLDWIDE LOGISTICS INC.","BEDROOM FURNITURE BEDROOM FURNITURE PO#4010258941 SHIPPER CHINA ZIP CODE 116001 TEL 411-82798365 FAX 411-82798363 FURNITURE, NOS",9070
"NEPTUNE CHEMICAL PUMP COMPANY","PIPE AND ACCESSORIES",1475
"HELLMANN WORLDWIDE LOGISTICS INC.","NEW SPARE PARTS FORNEW SPARE PARTS FORTRANSPORTATION TOOLING",28694
"WAL-MART STORES, INC.","POOL RIDER POOL RIDER P.O. NO.:0251741956 ITEM:722244 CASES:187 VENDOR DECLARE THIS SHIPMENT CONTAINS NO REGULATEDWOOD PACKING MATERIAL. GLN NO.:0078742000008 CLASS NO.:0042 DEPT NO.:00007 HTS:3926907500 CARGO RECEIVED DATE:20070512 SERVICE CONTRACT NUMBER:SC30088 THE SAME THE SAME THE SAME THE SAME THE SAME",1337
"COSTCO WHOLESALE CORPORATION","PLANTER, GLAZED CERAMIC 'OCEAN FREIGHT COLLECT' SHIPPER-S LOAD & COUNT 42 PACKAGES OF 'VIETNAMESE PLANTER, GLAZED CERAMIC ' PO NUMBER: 171-0915-324 ONE (01) CONTAINER ONLY",10500
"WAL-MART STORES INC","413 CTN = 14868 PCS OF LADIES 100% COTTON S/S LACE POLO KNIT TOP PO NO. 0951891204 ITEM NO. 3465592 NO. OF PACKAGES: 413CTNS QUANTITY: 14868 PCS GLN NO: 0078742000008 PO TYPE: 0043 DEPT NO: 00034 L/C NO.: HTS NO.: 6110202079 SHIPPER-S LOAD STOW AND COUNT",4080
"COSTCO WHOLESALE CORPORATION","METAL ANGEL SCULPTURE ITM /ART 663620 PACKAGING MATERIAL THE SAME",4763
"NISSIN INTERNATIONAL TRANSPORT USA","EPDM RUBBER PARTS FOR AUTOMOBILES",9479
"MBM CORPORATION","S.L.A.C. PAPER CUTTING & SHREDDING MACHINES HS CODE: 84411030, 84419010,84729070 INVOICE: DRA/30028161",9612
"CTS GLOBAL SUPPLY CHAIN SOLUTIONS U","AUTO PARTS GROUP A N A ZHEJIANG ZHONGDA TEXTILES CO. LTD S C SHA5054403 THE SHIPMENT CONTAINS NO WOOD PACKAGING MATERIAL",6289
"PURCELL INTERNATIONAL","1650 CARTONS 24 X N1 PEAR HALV ES IN L/SYRUP - ISLAND SUN PO NUMBER: 90164 INTERCAN CONTR ACT NO.: PUR14/001-03 LABEL: ISLAND SUN FDA REGISTRATION N UMBER: 15520117965",20172
"HELLMANN WORLDWIDE LOGISTICS","HB/L # KHIEWR140116 AS PER D EPARTURE DATE FORM -E-NO. FB L-0182287 DATED:11/04/2014 910 CARTONS 20,020 PCS ( NI NE HUNDRED TEN CARTONS ONLY) CONTAINER AS PER SHIPPER-S DECLARATION 100% COTTON TERR Y TOWEL 4,400 PCS MAR BLUE P O 81157 2,750 PCS MAR LAPIS PO 81157 3,300 PCS MAR LIME PO 81157 1,650 PCS MAR FAWN PO 81157 220 PCS MAR PINK PO 81157 3,300 PCS MAR WHITE P O 81157 4,400 PCS BUTTERCUP PO 81157 INVOICE NUMBER 18106067 HTS CODE:6302.60.0020 HTS CODE:6302.60.0030 MID C ODE: PKINDHOME25LAH WPH AUTH ORIZATION ID #040814OC/LD19 ACTUAL IMPORTER WESTPOINT HOME INC., SCOTLAND PLANT, P.O.BOX 388, AIRPORT ROAD, WAGRAM NC 28396 USA PHONE: 704 357 2206 NET WEIGHT : 745 0.00 KGS",8471
"PEGASUS MARITIME INC.","LAMINATING FILM",17247
"ITALFOODS INC.","OLIVES PRODUCTS",17916
"NATIONAL FISH AND SEAFOOD","FROZEN FLOUNDER FILLETS IQF -18 SHIPMENT CONTAINS NO SOLID WOOD PACKING MATERIAL",18000
"AIR 7 SEAS TRANSPORT LOGISTICS IN","(TWO HUNDRED & FIFTY FIVE PACK & 40 BOXES OF COTTON COATED FA T FABRIC INVOICE NO. CTL-0708 S.B.NO.: 1035163, 1035164, 10 IL TEXTILES PVT. LTD. AGENT COSTA MESA, CA USA PHON X:+1 (714) 428-5339",12532
"COSTCO WHOLESALE CORPORATION","PRELIT 9 FOOT ARTIFICIAL CHRISTMAS TREE ITEM NO.: 900946 DESCRIPTION: KIRKLAND SIGNATURE PRELIT 9 FOOT ARTIFICIAL CHRISTMAS TREE, UL LISTED. PURCHASE ORDER NUMBER 2620313408",7937
"OFI INTERNATIONAL INC","FROZEN RAW PEELED AND DEVEINED TAIL OFF VANNA",18961
"JFC INTERNATIONAL INC.","UCC COFFEE PRODUCTS",2277
"WAL-MART STORES, INC","15 CHROME WC PURCHASE ORDER NUMBER: 7651749979 ITEM NUMBER: 1058922 VENDOR DECLARE THIS SHIPMENT CONTAINS NO REGULATED WOOD PACKING MATERIAL. HTS CODE : 8708706045 GLN:0078742000008 PO TYPE:0043 CLASS NO.0043 DEPT#00010 SHIPPER-S LOAD STOW AND COUNT",1537
"ORION MERCHANDISE CORP","RAW FABRIC",3600
