,x,,,,,,,Variables,Dim.1,Dim.2,Dim.3
24,Variance              28.269  28.035  27.905  27.351  27.112  27.028,,,,,,,ramps,-0.003,0.892,0.385
25,% of var.              0.312   0.310   0.308   0.302   0.299   0.298,,,,,,,relative,-0.003,0.892,0.385
26,Cumulative % of var.   9.848  10.158  10.466  10.768  11.067  11.366,,,,,,,robeetle,-0.003,0.892,0.385
27,                      Dim.31  Dim.32  Dim.33  Dim.34  Dim.35  Dim.36,,,,,,,scheme,-0.003,0.892,0.385
28,Variance              26.453  26.288  26.136  26.015  25.802  25.603,,,,,,,stably,-0.003,0.892,0.385
29,% of var.              0.292   0.290   0.289   0.287   0.285   0.283,,,,,,,subgram,-0.003,0.892,0.385
30,Cumulative % of var.  11.658  11.948  12.237  12.524  12.809  13.092,,,,,,,tethered,-0.003,0.892,0.385
31,                      Dim.37  Dim.38  Dim.39  Dim.40  Dim.41  Dim.42,,,,,,,thermomechanical,-0.003,0.892,0.385
32,Variance              25.572  25.390  25.079  24.914  24.782  24.589,,,,,,,robot,-0.003,0.883,0.382
33,% of var.              0.282   0.280   0.277   0.275   0.274   0.272,,,,,,,crawling,0,0.807,0.346
34,Cumulative % of var.  13.374  13.655  13.932  14.207  14.480  14.752,,,,,,,reaction,-0.003,0.805,0.349
35,                      Dim.43  Dim.44  Dim.45  Dim.46  Dim.47  Dim.48,,,,,,,fuel,-0.002,0.736,0.316
36,Variance              24.406  24.104  23.997  23.917  23.779  23.707,,,,,,,muscle,-0.001,0.718,0.295
37,% of var.              0.270   0.266   0.265   0.264   0.263   0.262,,,,,,,legs,-0.008,0.655,0.285
38,Cumulative % of var.  15.021  15.288  15.553  15.817  16.079  16.341,,,,,,,extends,-0.003,0.641,0.275
39,                      Dim.49  Dim.50  Dim.51  Dim.52  Dim.53  Dim.54,,,,,,,surfaces,-0.007,0.64,0.276
40,Variance              23.640  23.348  23.240  23.144  22.898  22.732,,,,,,,periodic,-0.004,0.639,0.275
41,% of var.              0.261   0.258   0.257   0.256   0.253   0.251,,,,,,,payloads,-0.003,0.638,0.274
42,Cumulative % of var.  16.602  16.860  17.117  17.372  17.625  17.876,,,,,,,sustained,-0.006,0.637,0.275
43,                      Dim.55  Dim.56  Dim.57  Dim.58  Dim.59  Dim.60,,,,,,,wire,-0.007,0.635,0.28
44,Variance              22.511  22.489  22.280  22.151  22.123  22.003,,,,,,,mechanical,-0.01,0.627,0.265
45,% of var.              0.249   0.248   0.246   0.245   0.244   0.243,,,,,,,bioinspired,-0.008,0.611,0.259
46,Cumulative % of var.  18.125  18.373  18.619  18.864  19.108  19.351,,,,,,,speeds,-0.004,0.529,0.222
47,                      Dim.61  Dim.62  Dim.63  Dim.64  Dim.65  Dim.66,,,,,,,contracts,-0.007,0.524,0.225
48,Variance              21.907  21.761  21.631  21.553  21.493  21.343,,,,,,,density,-0.004,0.473,0.198
49,% of var.              0.242   0.240   0.239   0.238   0.237   0.236,,,,,,,autonomous,-0.01,0.46,0.19
50,Cumulative % of var.  19.593  19.833  20.072  20.310  20.548  20.783,,,,,,,platinum,0.01,0.443,0.184
51,                      Dim.67  Dim.68  Dim.69  Dim.70  Dim.71  Dim.72,,,,,,,modulating,0.018,0.441,0.183
52,Variance              21.225  21.193  21.142  21.075  20.967  20.887,,,,,,,operation,-0.006,0.4,0.168
53,% of var.              0.234   0.234   0.233   0.233   0.232   0.231,,,,,,,weight,0.024,0.392,0.2
54,Cumulative % of var.  21.018  21.252  21.485  21.718  21.950  22.180,,,,,,,characterized,-0.005,0.382,0.159
55,                      Dim.73  Dim.74  Dim.75  Dim.76  Dim.77  Dim.78,,,,,,,drive,-0.002,0.359,0.146
56,Variance              20.863  20.708  20.645  20.571  20.509  20.486,,,,,,,twice,-0.001,0.351,0.151
57,% of var.              0.230   0.229   0.228   0.227   0.226   0.226,,,,,,,harnessing,-0.002,0.35,0.144
58,Cumulative % of var.  22.411  22.639  22.867  23.095  23.321  23.547,,,,,,,further,0.005,0.326,0.128
59,                      Dim.79  Dim.80  Dim.81  Dim.82  Dim.83  Dim.84,,,,,,,mechanism,0.036,0.313,0.111
60,Variance              20.415  20.321  20.116  20.058  20.045  19.960,,,,,,,robots,-0.002,0.303,0.121
61,% of var.              0.225   0.224   0.222   0.222   0.221   0.220,,,,,,,inspired,-0.003,0.261,0.105
62,Cumulative % of var.  23.773  23.997  24.219  24.441  24.662  24.883,,,,,,,parameters,0.049,0.26,0.083
63,                      Dim.85  Dim.86  Dim.87  Dim.88  Dim.89  Dim.90,,,,,,,electronics,-0.002,0.257,0.106
64,Variance              19.823  19.775  19.692  19.631  19.580  19.501,,,,,,,fastest,-0.006,0.254,0.111
65,% of var.              0.219   0.218   0.217   0.217   0.216   0.215,,,,,,,demonstrated,0.257,0.25,0.092
66,Cumulative % of var.  25.102  25.320  25.537  25.754  25.970  26.186,,,,,,,performed,0,0.247,0.104
67,                      Dim.91  Dim.92  Dim.93  Dim.94  Dim.95  Dim.96,,,,,,,powered,-0.011,0.234,0.09
68,Variance              19.456  19.344  19.208  19.176  19.110  19.033,,,,,,,operate,-0.009,0.231,0.091
69,% of var.              0.215   0.214   0.212   0.212   0.211   0.210,,,,,,,integrated,-0.007,0.23,0.091
70,Cumulative % of var.  26.401  26.614  26.826  27.038  27.249  27.459,,,,,,,control,-0.01,0.23,0.177
71,                      Dim.97  Dim.98  Dim.99 Dim.100 Dim.101 Dim.102,,,,,,,average,-0.012,0.224,0.107
72,Variance              18.996  18.943  18.904  18.837  18.807  18.791,,,,,,,experiments,-0.006,0.222,0.089
73,% of var.              0.210   0.209   0.209   0.208   0.208   0.208,,,,,,,showed,0.005,0.217,0.076
74,Cumulative % of var.  27.669  27.878  28.087  28.295  28.503  28.710,,,,,,,demonstrates,0.218,0.214,0.068
75,                     Dim.103 Dim.104 Dim.105 Dim.106 Dim.107 Dim.108,,,,,,,high,-0.001,0.21,0.077
76,Variance              18.773  18.663  18.631  18.565  18.542  18.520,,,,,,,compared,0.031,0.207,0.059
77,% of var.              0.207   0.206   0.206   0.205   0.205   0.205,,,,,,,achieved,-0.002,0.206,0.078
78,Cumulative % of var.  28.918  29.124  29.330  29.535  29.739  29.944,,,,,,,memory,0.032,0.201,0.062
79,                     Dim.109 Dim.110 Dim.111 Dim.112 Dim.113 Dim.114,,,,,,,enables,0.003,0.2,0.072
80,Variance              18.437  18.391  18.305  18.253  18.119  18.098,,,,,,,controls,-0.005,0.197,0.079
81,% of var.              0.204   0.203   0.202   0.202   0.200   0.200,,,,,,,resulting,0.007,0.195,0.088
82,Cumulative % of var.  30.148  30.351  30.553  30.754  30.955  31.154,,,,,,,applied,0.008,0.189,0.056
83,                     Dim.115 Dim.116 Dim.117 Dim.118 Dim.119 Dim.120,,,,,,,robotic,-0.005,0.172,0.061
84,Variance              18.034  18.012  17.964  17.918  17.875  17.788,,,,,,,flow,-0.012,0.165,0.081
85,% of var.              0.199   0.199   0.198   0.198   0.197   0.196,,,,,,,uses,0.002,0.152,0.039
86,Cumulative % of var.  31.354  31.552  31.751  31.949  32.146  32.343,,,,,,,amplifies,0.035,0.147,0.042
87,                     Dim.121 Dim.122 Dim.123 Dim.124 Dim.125 Dim.126,,,,,,,attends,0.035,0.147,0.042
88,Variance              17.759  17.720  17.620  17.609  17.542  17.484,,,,,,,chunks,0.035,0.147,0.042
89,% of var.              0.196   0.196   0.195   0.194   0.194   0.193,,,,,,,couple,0.035,0.147,0.042
90,Cumulative % of var.  32.539  32.734  32.929  33.123  33.317  33.510,,,,,,,decimal,0.035,0.147,0.042
91,                     Dim.127 Dim.128 Dim.129 Dim.130 Dim.131 Dim.132,,,,,,,httpshuggingfacecoblogoptimizellm,0.035,0.147,0.042
92,Variance              17.454  17.417  17.368  17.306  17.259  17.232,,,,,,,kernel,0.035,0.147,0.042
93,% of var.              0.193   0.192   0.192   0.191   0.191   0.190,,,,,,,matrices,0.035,0.147,0.042
94,Cumulative % of var.  33.703  33.895  34.087  34.278  34.469  34.659,,,,,,,maximum,0.035,0.147,0.042
95,                     Dim.133 Dim.134 Dim.135 Dim.136 Dim.137 Dim.138,,,,,,,memoryexpensive,0.035,0.147,0.042
96,Variance              17.153  17.105  17.026  16.996  16.976  16.924,,,,,,,prohibitively,0.035,0.147,0.042
97,% of var.              0.189   0.189   0.188   0.188   0.187   0.187,,,,,,,sliding,0.035,0.147,0.042
98,Cumulative % of var.  34.849  35.038  35.226  35.413  35.601  35.788,,,,,,,sparsify,0.035,0.147,0.042
99,                     Dim.139 Dim.140 Dim.141 Dim.142 Dim.143 Dim.144,,,,,,,successive,0.035,0.147,0.042
100,Variance              16.838  16.808  16.791  16.756  16.682  16.665,,,,,,,till,0.035,0.147,0.042
101,% of var.              0.186   0.186   0.185   0.185   0.184   0.184,,,,,,,abstractive,0.035,0.145,0.043
102,Cumulative % of var.  35.974  36.159  36.345  36.530  36.714  36.898,,,,,,,speed,0.003,0.144,0.049
103,                     Dim.145 Dim.146 Dim.147 Dim.148 Dim.149 Dim.150,,,,,,,sparse,0.036,0.143,0.038
104,Variance              16.606  16.566  16.510  16.487  16.482  16.440,,,,,,,selfattention,0.035,0.142,0.041
105,% of var.              0.183   0.183   0.182   0.182   0.182   0.182,,,,,,,generation,0.031,0.142,0.036
106,Cumulative % of var.  37.081  37.264  37.447  37.629  37.811  37.992,,,,,,,extractive,0.035,0.141,0.043
107,                     Dim.151 Dim.152 Dim.153 Dim.154 Dim.155 Dim.156,,,,,,,useful,-0.001,0.141,0.047
108,Variance              16.428  16.379  16.314  16.294  16.249  16.202,,,,,,,vectors,0.031,0.136,0.034
109,% of var.              0.181   0.181   0.180   0.180   0.179   0.179,,,,,,,summarizing,0.034,0.135,0.035
110,Cumulative % of var.  38.174  38.355  38.535  38.715  38.894  39.073,,,,,,,properties,-0.008,0.134,0.046
111,                     Dim.157 Dim.158 Dim.159 Dim.160 Dim.161 Dim.162,,,,,,,summarization,0.038,0.133,0.03
112,Variance              16.190  16.185  16.150  16.123  16.107  16.069,,,,,,,artificial,0.026,0.131,0.024
113,% of var.              0.179   0.179   0.178   0.178   0.178   0.177,,,,,,,default,0.032,0.128,0.03
114,Cumulative % of var.  39.252  39.431  39.609  39.787  39.965  40.142,,,,,,,requirements,0.027,0.128,0.035
115,                     Dim.163 Dim.164 Dim.165 Dim.166 Dim.167 Dim.168,,,,,,,this,0.138,0.127,0.012
116,Variance              15.982  15.948  15.926  15.899  15.875  15.823,,,,,,,transmission,-0.009,0.127,0.069
117,% of var.              0.176   0.176   0.176   0.176   0.175   0.175,,,,,,,enable,-0.003,0.126,0.032
118,Cumulative % of var.  40.319  40.495  40.671  40.846  41.022  41.196,,,,,,,inference,0.029,0.125,0.031
119,                     Dim.169 Dim.170 Dim.171 Dim.172 Dim.173 Dim.174,,,,,,,sequence,0.033,0.123,0.033
120,Variance              15.805  15.757  15.719  15.692  15.649  15.603,,,,,,,created,-0.004,0.122,0.046
121,% of var.              0.175   0.174   0.174   0.173   0.173   0.172,,,,,,,heat,-0.009,0.122,0.056
122,Cumulative % of var.  41.371  41.545  41.719  41.892  42.065  42.237,,,,,,,length,0.029,0.121,0.032
123,                     Dim.175 Dim.176 Dim.177 Dim.178 Dim.179 Dim.180,,,,,,,input,0.033,0.12,0.024
124,Variance              15.585  15.557  15.522  15.477  15.442  15.378,,,,,,,consist,0.028,0.114,0.034
125,% of var.              0.172   0.172   0.171   0.171   0.171   0.170,,,,,,,summarized,0.031,0.112,0.029
126,Cumulative % of var.  42.409  42.581  42.752  42.923  43.094  43.264,,,,,,,approaches,0.025,0.112,0.012
127,                     Dim.181 Dim.182 Dim.183 Dim.184 Dim.185 Dim.186,,,,,,,contexts,0.03,0.11,0.029
128,Variance              15.360  15.320  15.299  15.257  15.179  15.172,,,,,,,subset,0.03,0.108,0.023
129,% of var.              0.170   0.169   0.169   0.168   0.168   0.168,,,,,,,chosen,0.024,0.107,0.027
130,Cumulative % of var.  43.433  43.603  43.771  43.940  44.108  44.275,,,,,,,size,-0.007,0.106,0.031
131,                     Dim.187 Dim.188 Dim.189 Dim.190 Dim.191 Dim.192,,,,,,,alternative,0.019,0.105,0.022
132,Variance              15.119  15.095  15.088  15.062  15.028  14.974,,,,,,,energy,-0.008,0.103,0.033
133,% of var.              0.167   0.167   0.167   0.166   0.166   0.165,,,,,,,followed,0.02,0.102,0.032
134,Cumulative % of var.  44.442  44.609  44.775  44.942  45.108  45.273,,,,,,,performance,0.076,0.101,0.002
135,                     Dim.193 Dim.194 Dim.195 Dim.196 Dim.197 Dim.198,,,,,,,optimize,0.017,0.1,0.016
136,Variance              14.962  14.947  14.924  14.911  14.863  14.813,,,,,,,reduces,0.033,0.098,0.018
137,% of var.              0.165   0.165   0.165   0.165   0.164   0.164,,,,,,,seeing,0.026,0.098,0.023
138,Cumulative % of var.  45.438  45.603  45.768  45.933  46.097  46.261,,,,,,,system,-0.004,0.098,0.025
139,                     Dim.199 Dim.200 Dim.201 Dim.202 Dim.203 Dim.204,,,,,,,makes,0.003,0.095,0.015
140,Variance              14.797  14.766  14.724  14.702  14.680  14.614,,,,,,,attention,0.122,0.092,0.037
141,% of var.              0.163   0.163   0.163   0.162   0.162   0.161,,,,,,,inputs,0.029,0.091,0.022
142,Cumulative % of var.  46.424  46.587  46.750  46.912  47.074  47.236,,,,,,,researchers,0.028,0.089,0.002
143,                     Dim.205 Dim.206 Dim.207 Dim.208 Dim.209 Dim.210,,,,,,,called,0.007,0.089,0.02
144,Variance              14.580  14.560  14.554  14.475  14.472  14.431,,,,,,,efficiency,-0.008,0.085,0.003
145,% of var.              0.161   0.161   0.161   0.160   0.160   0.159,,,,,,,comprehension,0.307,0.084,0.018
146,Cumulative % of var.  47.397  47.557  47.718  47.878  48.038  48.197,,,,,,,summarize,0.017,0.084,0.02
147,                     Dim.211 Dim.212 Dim.213 Dim.214 Dim.215 Dim.216,,,,,,,each,0.021,0.083,0.016
148,Variance              14.403  14.378  14.348  14.328  14.295  14.249,,,,,,,parameter,0.025,0.079,0.03
149,% of var.              0.159   0.159   0.158   0.158   0.158   0.157,,,,,,,body,-0.009,0.078,0.032
150,Cumulative % of var.  48.356  48.515  48.673  48.832  48.990  49.147,,,,,,,suggests,0.094,0.077,0.012
151,                     Dim.217 Dim.218 Dim.219 Dim.220 Dim.221 Dim.222,,,,,,,quick,0.047,0.077,0.09
152,Variance              14.230  14.194  14.166  14.121  14.085  14.045,,,,,,,least,0.021,0.077,0.015
153,% of var.              0.157   0.157   0.156   0.156   0.156   0.155,,,,,,,method,0.006,0.077,0.012
154,Cumulative % of var.  49.304  49.461  49.617  49.773  49.929  50.084,,,,,,,design,0.075,0.076,0.01
155,                     Dim.223 Dim.224 Dim.225 Dim.226 Dim.227 Dim.228,,,,,,,matrix,0.022,0.076,0.015
156,Variance              14.030  14.020  13.999  13.949  13.925  13.911,,,,,,,tasks,0.165,0.075,-0.029
157,% of var.              0.155   0.155   0.155   0.154   0.154   0.154,,,,,,,pretraining,0.04,0.075,-0.033
158,Cumulative % of var.  50.239  50.394  50.548  50.702  50.856  51.010,,,,,,,understood,0.021,0.075,0.033
159,                     Dim.229 Dim.230 Dim.231 Dim.232 Dim.233 Dim.234,,,,,,,boosted,0.036,0.073,-0.031
160,Variance              13.869  13.841  13.819  13.797  13.740  13.719,,,,,,,chromatin,0.036,0.073,-0.031
161,% of var.              0.153   0.153   0.153   0.152   0.152   0.152,,,,,,,chromatinaccessibility,0.036,0.073,-0.031
162,Cumulative % of var.  51.163  51.316  51.468  51.621  51.772  51.924,,,,,,,contextaware,0.036,0.073,-0.031
163,                     Dim.235 Dim.236 Dim.237 Dim.238 Dim.239 Dim.240,,,,,,,contractile,0.036,0.073,-0.031
164,Variance              13.701  13.681  13.639  13.626  13.574  13.536,,,,,,,derived,0.036,0.073,-0.031
165,% of var.              0.151   0.151   0.151   0.150   0.150   0.149,,,,,,,dna–protein,0.036,0.073,-0.031
166,Cumulative % of var.  52.075  52.226  52.377  52.527  52.677  52.827,,,,,,,downstream,0.036,0.073,-0.031
167,                     Dim.241 Dim.242 Dim.243 Dim.244 Dim.245 Dim.246,,,,,,,geneexpression,0.036,0.073,-0.031
168,Variance              13.509  13.490  13.482  13.453  13.418  13.397,,,,,,,geneformer,0.036,0.073,-0.031
169,% of var.              0.149   0.149   0.149   0.149   0.148   0.148,,,,,,,geneformer’s,0.036,0.073,-0.031
170,Cumulative % of var.  52.976  53.125  53.274  53.422  53.571  53.719,,,,,,,genenetwork,0.036,0.073,-0.031
171,                     Dim.247 Dim.248 Dim.249 Dim.250 Dim.251 Dim.252,,,,,,,heartmuscle,0.036,0.073,-0.031
172,Variance              13.325  13.313  13.302  13.251  13.217  13.204,,,,,,,hierarchy,0.036,0.073,-0.031
173,% of var.              0.147   0.147   0.147   0.146   0.146   0.146,,,,,,,induced,0.036,0.073,-0.031
174,Cumulative % of var.  53.866  54.013  54.160  54.306  54.452  54.598,,,,,,,jointly,0.036,0.073,-0.031
175,                     Dim.253 Dim.254 Dim.255 Dim.256 Dim.257 Dim.258,,,,,,,learnt,0.036,0.073,-0.031
176,Variance              13.190  13.149  13.131  13.087  13.071  13.032,,,,,,,notably,0.036,0.073,-0.031
177,% of var.              0.146   0.145   0.145   0.145   0.144   0.144,,,,,,,pivotal,0.036,0.073,-0.031
178,Cumulative % of var.  54.743  54.889  55.034  55.178  55.323  55.467,,,,,,,pluripotent,0.036,0.073,-0.031
179,                     Dim.259 Dim.260 Dim.261 Dim.262 Dim.263 Dim.264,,,,,,,transcription,0.036,0.073,-0.031
180,Variance              13.012  13.004  12.956  12.908  12.897  12.860,,,,,,,transferring,0.036,0.073,-0.031
181,% of var.              0.144   0.144   0.143   0.143   0.142   0.142,,,,,,,unlabelled,0.036,0.073,-0.031
182,Cumulative % of var.  55.610  55.754  55.897  56.039  56.182  56.324,,,,,,,‘attentionbased’,0.036,0.073,-0.031
183,                     Dim.265 Dim.266 Dim.267 Dim.268 Dim.269 Dim.270,,,,,,,‘understanding’,0.036,0.073,-0.031
184,Variance              12.851  12.825  12.798  12.764  12.745  12.710,,,,,,,managing,0.014,0.073,0.016
185,% of var.              0.142   0.142   0.141   0.141   0.141   0.140,,,,,,,billions,0.012,0.073,0.016
186,Cumulative % of var.  56.466  56.607  56.749  56.890  57.031  57.171,,,,,,,candidate,0.027,0.072,-0.022
187,                     Dim.271 Dim.272 Dim.273 Dim.274 Dim.275 Dim.276,,,,,,,capabilities,0.165,0.071,0.002
188,Variance              12.687  12.659  12.618  12.591  12.557  12.525,,,,,,,provides,0.001,0.071,0.018
189,% of var.              0.140   0.140   0.139   0.139   0.139   0.138,,,,,,,they,-0.003,0.071,0.007
190,Cumulative % of var.  57.311  57.451  57.590  57.729  57.868  58.006,,,,,,,demands,0.248,0.07,0.011
191,                     Dim.277 Dim.278 Dim.279 Dim.280 Dim.281 Dim.282,,,,,,,clinic,0.02,0.068,-0.022
192,Variance              12.500  12.467  12.451  12.420  12.394  12.361,,,,,,,llms,0.363,0.067,-0.021
193,% of var.              0.138   0.138   0.137   0.137   0.137   0.137,,,,,,,deeplearning,0.032,0.065,-0.029
194,Cumulative % of var.  58.144  58.282  58.419  58.557  58.693  58.830,,,,,,,humans,0.003,0.065,0.011
195,                     Dim.283 Dim.284 Dim.285 Dim.286 Dim.287 Dim.288,,,,,,,shape,-0.002,0.065,0.02
196,Variance              12.348  12.337  12.296  12.285  12.252  12.214,,,,,,,mapping,0.028,0.062,-0.03
197,% of var.              0.136   0.136   0.136   0.136   0.135   0.135,,,,,,,large,0.072,0.059,-0.032
198,Cumulative % of var.  58.966  59.103  59.238  59.374  59.509  59.644,,,,,,,learns,0.033,0.059,-0.027
199,                     Dim.289 Dim.290 Dim.291 Dim.292 Dim.293 Dim.294,,,,,,,window,0.009,0.059,0.003
200,Variance              12.197  12.159  12.114  12.095  12.085  12.059,,,,,,,smaller,0.023,0.058,0.005
201,% of var.              0.135   0.134   0.134   0.134   0.133   0.133,,,,,,,tests,-0.012,0.058,0.04
202,Cumulative % of var.  59.779  59.913  60.047  60.181  60.314  60.447,,,,,,,encode,0.028,0.057,-0.031
203,                     Dim.295 Dim.296 Dim.297 Dim.298 Dim.299 Dim.300,,,,,,,genes,0.025,0.057,-0.036
204,Variance              12.044  11.994  11.945  11.912  11.893  11.863,,,,,,,words,0.021,0.057,-0.005
205,% of var.              0.133   0.132   0.132   0.132   0.131   0.131,,,,,,,tokens,0.014,0.057,0.008
206,Cumulative % of var.  60.580  60.713  60.845  60.976  61.107  61.238,,,,,,,inflammation,0.011,0.056,0.018
207,                     Dim.301 Dim.302 Dim.303 Dim.304 Dim.305 Dim.306,,,,,,,production,0.002,0.054,0.001
208,Variance              11.860  11.832  11.791  11.770  11.735  11.712,,,,,,,developed,-0.016,0.054,-0.008
209,% of var.              0.131   0.131   0.130   0.130   0.130   0.129,,,,,,,through,0.028,0.053,-0.023
210,Cumulative % of var.  61.369  61.500  61.630  61.760  61.890  62.019,,,,,,,pattern,0.009,0.053,0.014
211,                     Dim.307 Dim.308 Dim.309 Dim.310 Dim.311 Dim.312,,,,,,,approach,-0.014,0.053,-0.004
212,Variance              11.701  11.667  11.636  11.615  11.584  11.574,,,,,,,microchip,0.011,0.052,0.016
213,% of var.              0.129   0.129   0.129   0.128   0.128   0.128,,,,,,,coupled,0.008,0.052,0.015
214,Cumulative % of var.  62.149  62.277  62.406  62.534  62.662  62.790,,,,,,,finetuned,0.026,0.051,-0.022
215,                     Dim.313 Dim.314 Dim.315 Dim.316 Dim.317 Dim.318,,,,,,,affect,0.014,0.05,-0.023
216,Variance              11.540  11.518  11.495  11.468  11.443  11.427,,,,,,,inflammatory,0.021,0.049,0.012
217,% of var.              0.127   0.127   0.127   0.127   0.126   0.126,,,,,,,attachments,0.013,0.049,0.013
218,Cumulative % of var.  62.917  63.045  63.171  63.298  63.424  63.551,,,,,,,bubble,0.013,0.049,0.013
219,                     Dim.319 Dim.320 Dim.321 Dim.322 Dim.323 Dim.324,,,,,,,bubbles,0.013,0.049,0.013
220,Variance              11.411  11.376  11.371  11.319  11.296  11.286,,,,,,,catalaselike,0.013,0.049,0.013
221,% of var.              0.126   0.126   0.126   0.125   0.125   0.125,,,,,,,conjugated,0.013,0.049,0.013
222,Cumulative % of var.  63.677  63.802  63.928  64.053  64.178  64.302,,,,,,,copiesml,0.013,0.049,0.013
223,                     Dim.325 Dim.326 Dim.327 Dim.328 Dim.329 Dim.330,,,,,,,envelope,0.013,0.049,0.013
224,Variance              11.255  11.227  11.206  11.147  11.134  11.107,,,,,,,hepatitis,0.013,0.049,0.013
225,% of var.              0.124   0.124   0.124   0.123   0.123   0.123,,,,,,,hydrogen,0.013,0.049,0.013
226,Cumulative % of var.  64.427  64.551  64.674  64.797  64.920  65.043,,,,,,,microchips,0.013,0.049,0.013
227,                     Dim.331 Dim.332 Dim.333 Dim.334 Dim.335 Dim.336,,,,,,,nanoparticleenabled,0.013,0.049,0.013
228,Variance              11.098  11.068  11.035  11.017  10.976  10.969,,,,,,,peroxide,0.013,0.049,0.013
229,% of var.              0.123   0.122   0.122   0.122   0.121   0.121,,,,,,,pointcare,0.013,0.049,0.013
230,Cumulative % of var.  65.166  65.288  65.410  65.531  65.653  65.774,,,,,,,serumplasma,0.013,0.049,0.013
231,                     Dim.337 Dim.338 Dim.339 Dim.340 Dim.341 Dim.342,,,,,,,virusspiked,0.013,0.049,0.013
232,Variance              10.945  10.906  10.897  10.885  10.871  10.839,,,,,,,zika,0.013,0.049,0.013
233,% of var.              0.121   0.120   0.120   0.120   0.120   0.120,,,,,,,bones,0.019,0.048,0.01
234,Cumulative % of var.  65.895  66.015  66.135  66.256  66.376  66.495,,,,,,,smartphone,0.012,0.048,0.012
235,                     Dim.343 Dim.344 Dim.345 Dim.346 Dim.347 Dim.348,,,,,,,tissues,0.01,0.048,-0.006
236,Variance              10.810  10.794  10.775  10.728  10.709  10.700,,,,,,,processes,0.008,0.048,-0.009
237,% of var.              0.119   0.119   0.119   0.118   0.118   0.118,,,,,,,activating,0.022,0.047,0.012
238,Cumulative % of var.  66.615  66.734  66.853  66.971  67.090  67.208,,,,,,,adenosine,0.022,0.047,0.012
239,                     Dim.349 Dim.350 Dim.351 Dim.352 Dim.353 Dim.354,,,,,,,binds,0.022,0.047,0.012
240,Variance              10.682  10.663  10.645  10.623  10.610  10.579,,,,,,,calm,0.022,0.047,0.012
241,% of var.              0.118   0.118   0.118   0.117   0.117   0.117,,,,,,,creams,0.022,0.047,0.012
242,Cumulative % of var.  67.326  67.444  67.561  67.678  67.796  67.912,,,,,,,excessive,0.022,0.047,0.012
243,                     Dim.355 Dim.356 Dim.357 Dim.358 Dim.359 Dim.360,,,,,,,extensively,0.022,0.047,0.012
244,Variance              10.552  10.533  10.525  10.489  10.433  10.417,,,,,,,injure,0.022,0.047,0.012
245,% of var.              0.117   0.116   0.116   0.116   0.115   0.115,,,,,,,mediators,0.022,0.047,0.012
246,Cumulative % of var.  68.029  68.145  68.262  68.377  68.493  68.608,,,,,,,ointments,0.022,0.047,0.012
247,                     Dim.361 Dim.362 Dim.363 Dim.364 Dim.365 Dim.366,,,,,,,prolong,0.022,0.047,0.012
248,Variance              10.408  10.379  10.372  10.341  10.320  10.294,,,,,,,purinergic,0.022,0.047,0.012
