FEI,Firm_Name ,Count_of_Operations,FDA483_Issued 
1216677,CooperSurgical  Inc.,100,
2510692,Bayer HealthCare LLC,99,
1000118231,Bayer Healthcare Animal Health Inc,99,
1873403,Indiana Blood Center,96,
1000117004,Cyberonics  Inc,94,
1048698,Hospira  Inc.,93,
3000210731,Eon Labs Inc dba Sandoz Inc,92,
2510592,Merck Sharpe & Dohme Corp,86,
3002806642,Dr. Reddy's Laboratories,86,
1676815,South Texas Blood & Tissue Center,85,
3002906944,Apotex Inc.,85,
1950204,Biomerieux Inc,84,
1018233,C.R. Bard  Inc.,82,
1942094,AAI Pharma Analytical Services St Louis Inc,82,
3002807756,Teva Canada Limited,79,
1000115163,Fresenius Kabi USA  LLC,78,
2222017,Sanofi-Aventis U.S. LLC,77,
1000222352,Ohm Laboratories  Inc.,76,
3004672766,Glenmark Pharmaceuticals Limited,76,
1875548,Michigan Blood,75,
1000306051,LifeCell Corporation,73,
3004182921,Impax Laboratories  Inc.,73,
3004443726,Medicis Aesthetics Inc.,72,
2020394,Bard Peripheral Vascular Inc,71,
2210048,Merck  Inc.,70,
2650176,Mylan LLC.,70,
3004753838,Dexcom Inc,70,
1053053,Alcon Laboratories  Inc.,68,
3000209735,Mayne Pharma Inc,68,
1000523075,Gilead Sciences  Inc.,65,
3002808385,Taro Pharmaceutical Industries  Ltd.,65,
1480865,ADM Alliance Nutrition  Inc.,64,
2010441,3M Drug Delivery Systems,64,
3005248192,Abbott Molecular,63,
1450114,Akorn  Inc.,62,
3002984011,Cadila Healthcare Limited,62,
3003113148,Patheon Puerto Rico  Inc.,62,
1049418,ALCAMI,60,
2510865,Lannett Company  Inc.,60,
2623450,Pfizer Pharmaceuticals LLC,60,
3002827704,Vascular Solutions  Inc.,60,
2211101,Bristol-myers Squibb Company,58,
3002808376,Apotex  Inc.,58,
3004106442,Upsher Smith Laboratories  Inc.,57,
2650099,Ex-Lax  Inc.,56,
1000117147,Actavis Laboratories UT  Inc.,56,
3001451326,CryoLife  Inc.,56,
1910185,Boehringer Ingelheim Vetmedica Inc,55,
3006031727,Alexion Pharmaceuticals  Inc.,53,
3002942061,Janssen Ortho L.L.C.,51,
1628888,Virbac AH  Inc,50,
3004090892,Actavis South Atlantic LLC,50,
1643525,Allergan Sales  LLC,49,
1000135190,Carlsbad Technology  Inc,49,
1629180,Aloe Vera of America  Inc,48,
3002809368,MDS Pharma Services,47,
3003166194,Medtronic Inc.,47,
3006757806,Macleods Pharmaceuticals Limited  Mumbai,47,
1810189,Pharmacia & Upjohn Company LLC,46,
1220423,Genzyme Corporation,44,
2938701,Alza Corporation,44,
2010632,Johnson & Johnson Consumer Inc,43,
2127022,Perrigo Company,43,
2024805,Boston Scientific Corporation,42,
3002807460,LEK Pharmaceuticals dd,42,
3006355426,Veeda Clinical Research Pvt. Ltd.,42,
1000472454,Medicis Pharmaceutical Corp,41,
3005551493,Sun Pharmaceutical Industries  Inc.,41,
1048067,The Blood Connection  Inc.,40,
1219343,Haemonetics Corporation,40,
1910007,Boehringer Ingelheim Vetmedica Inc.,40,
1000116912,Encore Medical  Lp,40,
1000208818,Watson Laboratories Caribe  Inc.,40,
2110898,3M Company - Health Care Business,39,
3003525044,Ultimate Nutrition  Inc.,39,
3004520113,Sun Pharmaceutical Industries Ltd,39,
3005580517,Vimta Labs  Limited,39,
2970085,Blood Centers of the Pacific - Santa Rosa Center,38,
3003723068,Medicines Company  The,38,
2974534,Houchin Community Blood bank,37,
3002889358,ImClone Systems  LLC. d.b.a. Eli Lilly and Company,37,
3003108339,Wyeth Pharmaceuticals Company,37,
3006218434,Tolmar  Inc.,37,
1940750,S and B Pharma  Inc dba Alkem Laboratories,36,
1000513101,Pharmaceutics International Inc,36,
1000513221,Millennium Pharmaceuticals Inc.,36,
3001617666,Apotex Inc.,36,
3005615687,Molecular Epidemiology  Inc.,36,
3008319439,Angiodynamics Worldwide Headquarters,36,
1720861,PRACS Institute  Ltd.,35,
1220648,Abiomed  Inc.,34,
1915582,Celerion Inc,34,
3006649033,AXIS Clinicals Limited,34,
1825146,Cook Inc.,33,
2011068,Allergan Inc,33,
1000080028,Intervet  Inc,33,
1000110912,Catalent Pharma Solutions LLC,33,
2243128,Pliva  Inc.,32,
2522638,Hercon Pharmaceuticals  LLC,32,
3003673812,Apotex  Inc.,32,
2183870,Ev3  Inc.,31,
3003089536,Daiichi Sankyo Inc.,31,
3003194604,Actavis Laboratories  FL  Inc.,31,
3002905604,Teva Pharmaceutical Industries Ltd.,30,
3002929455,Catalent CTS (Kansas City)  LLC,30,
3009340644,Shire Human Genetic Therapies  Inc.,30,
1910466,Provimi North America Inc,29,
1513606,KAO USA Inc,28,
2011194,Nexgen Pharma Inc,28,
2914019,Lumenis Inc.,28,
3001753294,Eisai Inc,28,
3002323490,Quality Chemical Laboratories  LLC,28,
3005499621,Algorithme Pharma  Inc.,28,
1036761,Merck Sharp & Dohme  Wilson Facility,27,
1526814,Teva Womens Health Inc,27,
2210844,Hoffmann La Roche Inc,27,
2211017,Merck Sharp & Dohme,27,
1000511105,Bio-Kinetic Clinical Applications LLC,27,
3005334138,St. Jude Medical Inc,27,
3001504994,Medtronic Inc,26,
1019820,Crown Laboratories  Inc.,25,
1450022,Fresenius Kabi USA LLC,25,
3019132,Battelle Pacific Northwest Lab,25,
1523399,The Procter & Gamble Co.,24,
1937815,R D Laboratories Inc,24,
1000135880,PrimaPharm Inc,24,
1000187429,Abbott Laboratories,24,
1000220862,Micro Therapeutics Inc  Dba Ev3 Neurovascular,24,
3003079710,Solta Medical  Inc.,24,
3005168196,Penumbra Inc.,24,
3007245855,Vargas  Dr Ramon,24,
3009751352,AbbVie Inc.,24,
1925021,Mallinckrodt  Inc.,23,
2410662,Pfizer Inc.,23,
2938970,Mylan Specialty  L.P.,23,
3072996,American National Red Cross,23,
1000121484,Egglands Best Inc,23,
1000160562,P&L Developments  LLC,23,
1000307073,Kensey Nash Corp. dba DSM Biomedical,23,
1033845,Janssen Pharmaceutical Inc,22,
1119279,Bausch & Lomb Surgical  Inc.,22,
1526439,DePuy Spine  Inc.,22,
2020550,Karl Storz Endoscopy America Inc,22,
2211100,Janssen Pharmaceuticals  Inc.,22,
3001748765,Yeh  Vivian,22,
3005124764,Lambda Therapeutic Research LTD.,22,
1028232,BIOTRONIK  Inc.,21,
1077605,Medic Inc,21,
2443168,Fujifilm Medical Systems U.S.A.  Inc.,21,
2518137,AstraZeneca Pharmaceuticals LP,21,
2916714,Aesculap Implant Systems LLC,21,
3001578003,Endo Pharmaceuticals  Inc.,21,
3006489197,Washington Homeopathic Products  Inc.,21,
3009591191,Semler Research Center Pvt. Ltd.,21,
1717927,Nexgen Pharma  Inc.,20,
2183449,Orthofix  Inc,20,
1000036852,Astellas Pharma US Inc,20,
1000080714,BASF Corporation,20,
3003121131,Ultimate Formulations  Inc. dba Best Formulations,20,
3006005723,Ranbaxy Clinical Pharmacology Unit,20,
3007240227,Accutest Clinical Research Pvt Ltd,20,
1019003,Baxter Healthcare Corporation,19,
1419921,Silliker Inc,19,
1713747,Fresenius Medical Care  North America,19,
1870308,South Bend Medical Foundation  Inc.,19,
2211084,Halo Pharmaceutical  Inc.,19,
2250051,Ortho Clinical Diagnostics Inc,19,
1000510978,ACH Food Companies  Inc.,19,
3001452571,Medtronic Vascular  Inc.,19,
3002533384,inVentiv Health Clinique Inc. fka Anapharm  Inc.,19,
3003596612,Sanofi-Aventis U.S. LLC,19,
3003778267,Micromeritics Instruments Corporation,19,
3003867379,MDS Pharma Services,19,
2917293,Genentech Inc.,18,N
1000115331,RTI Surgical  Inc. (dba Pioneer Surgical Technology  Inc.),18,
1000307054,Teva Branded Pharmaceutical Products R&D  Inc.,18,
3002295674,Boehringer Ingelheim Pharmaceuticals  Inc.,18,
3003523812,Parexel Bionanalytical Services Division,18,
3004492248,Anchen Pharmaceuticals  Inc,18,
1016172,Solvay Pharmaceuticals Inc,17,
2020478,Silliker  Inc.,17,
2026154,Amgen  Inc.,17,N
2026154,Amgen  Inc.,17,
2126673,St Jude Medical Inc,17,
2623241,Bristol Myers Squibb Manufacturing  Co.,17,
1000221210,Orthovita  Inc.  dBA Stryker Orthobiologics.,17,
3000209733,Alcon Refractive Horizons  Inc.,17,
3002773682,American Laboratories Inc,17,
3006152750,Clinogent (A Division of GVK Biosciences Pvt. Ltd.),17,
3008362729,Lambda Therapeutic Research Limited,17,
3008861605,Amneal Pharmaceuticals  LLC,17,
1076019,Mid-South Regional Blood Center,16,
1314625,Unither Manufacturing LLC.,16,
1819470,Eli Lilly and Company,16,N
1937595,Purina Animal Nutrition  LLC,16,
2510592,Merck Sharpe & Dohme Corp,16,Y
1000117351,Terumo BCT  Inc.,16,
3002806283,Abic Ltd.,16,
3002806351,Hikma Pharmaceuticals LLC,16,
3002807653,Merck Sharp & Dohme,16,
3002808384,Taro Pharmaceuticals  Inc.,16,
3004393730,Pfizer  Inc.,16,
3004536028,Accutest Research Laboratories (India) Pvt. Ltd.,16,
3007078964,Cliantha Research Ltd,16,
3007240339,Synchron Research Services Pvt. Ltd.,16,
1021259,Microbac Laboratories Inc.  Wilson Division,15,
1037267,Methodist Medical Center Irc,15,
1111567,Noxell Corporation,15,
1310197,G. C. Hanford Manufacturing Co,15,
1415939,Abbott Laboratories,15,Y
1510690,Roxane Laboratories  Inc.,15,N
1610287,Alcon Research  Ltd.,15,N
2518760,Sanofi Pasteur  Inc.,15,Y
1000307689,AVEVA Drug Delivery Systems  Inc.,15,
1000514470,Elizabeth Wende Breast Care  LLC,15,
1000518646,L. Perrigo Company,15,
1000518948,Pacific Hospital of Long Beach,15,
3004918131,Lotus Laboratories Pvt. Ltd.,15,
3006405455,Gorbec Pharmaceutical Services Inc.,15,
3007024261,Covance  Inc.,15,
1036352,VistaPharm  Inc.,14,
1110315,Mylan Pharmaceuticals Inc.,14,N
1450114,Akorn  Inc.,14,Y
1625446,Carrington Laboratories  Inc,14,
1927156,Reliable Biopharmaceutical Corp,14,
1000514289,The Mary Imogene Bassett Hospital,14,
1000521026,Hospital District Number 1 dba West Jefferson Medical Center,14,
1000521101,Thibodaux Regional Medical Center,14,
3000215611,Expert Chemical Analysis  Inc.,14,
3002809586,Sun Pharmaceutical Industries Ltd.,14,
3003434767,Bausch & Lomb Inc,14,
3003693105,Corium International  Inc.,14,
3004182921,Impax Laboratories  Inc.,14,Y
3005411947,Express Diagnostics Int'l.  Inc.,14,
3005900820,Cochlear Americas Inc.,14,
3006693646,GlaxoSmithKline R&D,14,
3007093114,Anika Therapeutics  Inc.,14,
3007112162,Piramal Clinical Research,14,
3009834747,Azidus Laboratories Limited,14,
3010667733,Wright Medical Technology  Inc.,14,
1031623,Bayer Health Care LLC,13,
1121680,PPD Development  LLC,13,N
1720861,PRACS Institute  Ltd.,13,N
1927976,Custom Industrial Analysis Labs Inc,13,
1974272,Barnes Jewish Hospital Blood Bank,13,
2022180,Dako North America Inc.,13,
2027189,Alliance Medical Products  Inc.,13,
2082946,Gilead Sciences Inc,13,
2182208,Medtronic Inc.  Cardiac Rhythm and Heart Failure,13,N
2211583,McNeil PPC Inc.,13,
1000115571,Baxter Pharmaceutical Solutions  LLC,13,Y
1000307460,American National Red Cross,13,
3000719749,Biogen MA Inc,13,
3002653483,Novartis Pharma Stein AG,13,
3002905311,Legacy Pharmaceuticals Puerto Rico  LLC,13,
3003266206,Nesher Pharmaceuticals (USA) LLC,13,
3003836868,Pfizer Inc.,13,
3004142400,Globus Medical  Inc.,13,
3004553437,Endotec  Inc.,13,
1035048,GlaxoSmithKline,12,N
1216602,Lantheus Medical Imaging  Inc.,12,
1416923,Deibel Laboratories of Illinois  Inc.,12,
1626335,Wilford Hall Medical Center Irc,12,
1926212,Mercy Medical Center-Des Moines IRC,12,
1970355,LifeServe Blood Center,12,
2083373,Oasis Medical  Inc.,12,
2244771,Novo Nordisk Inc,12,
2523595,Therakos  Inc.,12,
1000118851,Hillcrest-Riverside IRB,12,
1000195089,Nestle-USA Inc Quality Assurance Center-NQAC,12,
1000515253,Sysmex America  Inc.,12,
1000516789,University of Texas Health Science Center at Tyler IRB,12,
1000516836,St Edward Mercy Medical Center,12,
1000523073,Raza Aly  PhD,12,
1000527077,St. Francis Medical Center,12,
3000718496,Zimmer Spine  Inc.,12,
3001576563,Apotex Corp.,12,
3001578003,Endo Pharmaceuticals  Inc.,12,N
3002864272,IBSA Pambio-Noranco Complex,12,
3003843509,Abbott Medical Optics Inc. (AMO),12,N
3005334138,St. Jude Medical Inc,12,N
3005448030,Dr. Reddy's Laboratories Limited (Unit II),12,
3005580517,Vimta Labs  Limited,12,Y
3007992266,Catalent Micron Technologies  Inc.,12,
3008590332,Micro Therapeutic Research Labs Pvt. Ltd,12,
3009530688,Freeman  Dr James C,12,
3009804853,Alexion Pharmaceuticals Inc,12,
3012118007,Indivior Inc.,12,
1121680,PPD Development  LLC,11,Y
1221300,Hologic  Inc.,11,
1221842,VISX INCORPORATED  A SUBSIDIARY OF AMO INC,11,
1350044,Norwich Pharmaceuticals  Inc.,11,
1415939,Abbott Laboratories,11,N
1416980,Baxter Healthcare Corp. (Baxalta),11,Y
1518957,Nostrum Laboratories  Inc.,11,
1915582,Celerion Inc,11,Y
1925262,Hospira Inc,11,Y
1928946,Stormont-Vail Healthcare/St Francis Health Center Joint IRB,11,
1946524,Missouri Analytical Labs Inc,11,
2242843,Janssen Pharmaceuticals  Inc.,11,
2317190,Rockline Industries Inc.,11,
2518137,AstraZeneca Pharmaceuticals LP,11,N
2650040,Mayne Pharma (PR) Inc.,11,
1000117586,Cetero Research,11,Y
1000125598,Nobel Biocare Usa Llc,11,
1000139393,Darling Ingredients Inc.,11,N
1000220815,Advanced Bionics Corporation,11,
1000510363,Ottumwa Regional Health Center,11,
1000510921,Mercy Medical Center - Dubuque,11,
1000512575,Holy Cross Hospital,11,
1000515774,Taylor County Hospital,11,
1000515972,Holzer Clinic Inc.,11,
1000516040,Wright-Paterson Air Force Base IRB,11,
1000518849,Magnolia Medical Imaging Center  Inc.,11,
1000519043,Naval Medical Center San Diego  IRB,11,
1000519078,Watts Health Foundation  Inc.,11,
1000519574,Tucson Medical Center IRB,11,
1000519661,Arroyo Grande Community Hospital,11,
1000519664,Desert Valley Radiology - Tatum,11,
1000523502,Contra Costa Regional Medical Center,11,
1000526246,Univ. Of Miami Hosp & Clinics,11,
1000527057,Dr. Helen Fernandes,11,
3000718406,Otsuka America Pharmaceutical  Inc.,11,
3002798825,Fairview Mills LP,11,N
3002864272,IBSA Pambio-Noranco Complex,11,N
3002929455,Catalent CTS (Kansas City)  LLC,11,N
3002936358,Amphastar Pharmaceuticals  Inc.,11,
3003195501,Sanofi-Aventis Deutschland GmbH,11,
3003197096,Vintage Pharmaceuticals LLC  DBA Qualitest Pharmaceuticals,11,Y
3003450194,Actavis Totowa LLC,11,
3003937607,Actavis Laboratories FL  Inc.,11,
3004869520,Novum Pharmaceutical Research Services Inc,11,
3006457491,QPS Bioserve India Pvt. Ltd.,11,
3007093114,Anika Therapeutics  Inc.,11,Y
3007284006,Spectranetics Corporation,11,
3007464051,Ventura County Medical Center,11,
3008629186,Oklahoma Blood Institute,11,
3009340644,Shire Human Genetic Therapies  Inc.,11,Y
1019003,Baxter Healthcare Corporation,10,N
1810189,Pharmacia & Upjohn Company LLC,10,Y
2015691,Edwards Lifesciences  LLC,10,Y
2017865,St Jude Medical Inc.,10,N
2210396,Novartis Pharmaceuticals Corp.,10,N
2211563,Actavis Elizabeth LLC,10,Y
2432435,Fougera Pharmaceuticals  Inc.,10,Y
2650179,Biovail Laboratories International SRL,10,
2914117,Pacific BioLabs  Inc,10,N
2917293,Genentech Inc.,10,Y
2938701,Alza Corporation,10,N
1000115571,Baxter Pharmaceutical Solutions  LLC,10,N
1000149927,Anesta LLC  wholly-owned subsidiary of Cephalon Inc,10,
1000222390,Levlad  LLC,10,
1000305305,American National Red Cross,10,N
1000515650,King's Daughters Medical Center IRB,10,
1000519896,Dennis S. Riff  M.D.,10,N
1000523075,Gilead Sciences  Inc.,10,Y
1000523317,Kuakini Medical Center,10,
3002809368,MDS Pharma Services,10,Y
3002936358,Amphastar Pharmaceuticals  Inc.,10,Y
3002946714,KV Pharmaceutical Co,10,
3003399463,Ucb  Inc,10,
3003813358,Aziz L. Laurent  M.D.  P.I.,10,
3004081307,Cipla Limited,10,
3004105214,PPD Development  LLC,10,N
3005499621,Algorithme Pharma  Inc.,10,N
3005548382,Janssen Research & Development   LLC,10,
3006244497,Janssen Cilag Manufacturing LLC,10,
3006355435,Manipal AcuNova Clinical Research Ctr,10,
3006503914,Neuromuscular Technology  LLC,10,
3006587443,BioPharma Services Inc.,10,
3006724658,Worldwide Clinical Trials DDS CRS,10,N
3007069176,Analytical Bio-Chemistry Laboratories Inc,10,
3007078919,Apotex Research Private Limited,10,
3007400923,Pedro F. Lagrosa  M.D.,10,
3007756451,Lotus Labs Pvt. Ltd.,10,
1033964,GlaxoSmithKline  LLC,9,N
1111503,C. B. Fleet Co.  Inc.,9,
1122041,BioReliance Corporation,9,Y
1219205,Boehringer Ingelheim Pharmaceuticals  Inc.,9,N
1220951,Biogen,9,Y
1318933,Watson Laboratories  Inc.,9,
1410248,CSL Behring LLC,9,
1411365,AbbVie Inc.,9,N
1643045,OSO BioPharmaceuticals Manufacturing  LLC,9,Y
1910466,Provimi North America Inc,9,N
1921641,Pharmgate LLC,9,
1930436,Nostrum Laboratories Inc,9,Y
2011068,Allergan Inc,9,N
2021236,B. Braun Medical Inc,9,N
2024800,Hologic  Inc,9,N
2025760,Syntron Bioresearch Inc,9,
2082946,Gilead Sciences Inc,9,N
2210396,Novartis Pharmaceuticals Corp.,9,Y
2211100,Janssen Pharmaceuticals  Inc.,9,N
2246848,Akorn Inc.,9,Y
2410781,Del Laboratories Inc.,9,
2650176,Mylan LLC.,9,Y
2916596,Thoratec Corporation,9,Y
2938836,Pacesetter  Inc. dba St. Jude Medical CRMD,9,
2938970,Mylan Specialty  L.P.,9,N
1000135880,PrimaPharm Inc,9,Y
1000307460,American National Red Cross,9,N
1000513101,Pharmaceutics International Inc,9,Y
1000513517,PolyCarbon Industries  Inc.,9,
1000519209,Pomona Valley Hospital Medical Center,9,
1000519848,AstraZeneca  PLC,9,
3001237832,Plus Orthopedics USA,9,
3002199759,WuXi AppTec  Inc,9,N
3002781513,Aldrich Chemical Company  LLC,9,
3002806523,Sandoz GmbH,9,Y
3002807748,Novo Nordisk A/S,9,Y
3002808503,Wockhardt Limited,9,
3002926998,Astrazeneca R & D Molndal,9,
3002998793,Comprehensive Clinical Development Northwest  Inc,9,
3003098680,CSL Behring GmbH,9,Y
3003782237,GlaxoSmithKline dba Human Genome Sciences Inc,9,Y
3004591926,Hospira Inc.,9,N
3005139373,Heritage Pharma Labs  Inc.,9,
3005248192,Abbott Molecular,9,Y
3006724658,Worldwide Clinical Trials DDS CRS,9,Y
3007838104,eSwallow USA LLC,9,
3008238703,Sun Pharmaceutical Industries Ltd.,9,
3008763840,Sitec Labs Pvt. Ltd.,9,
3010494292,Donald A. Savitz,9,
3010700165,ASCENSIA DIABETES CARE US INC.,9,Y
3010700165,ASCENSIA DIABETES CARE US INC.,9,
1011574,Greer Laboratories Inc,8,
1053439,G&W NC Laboratories  LLC,8,N
1071905,Interstate Blood Bank Inc,8,
1076019,Mid-South Regional Blood Center,8,N
1077605,Medic Inc,8,N
1220948,LeMaitre Vascular  Inc.,8,
1410248,CSL Behring LLC,8,Y
1527393,Ricerca Biosciences LLC,8,Y
1717759,Sandoz Incorporated,8,Y
1718723,Horton Feedlots  Inc.,8,N
1771443,Childrens Hospital Colorado,8,
1810189,Pharmacia & Upjohn Company LLC,8,N
1940118,Pfizer Inc ,8,
2011021,Baxter Healthcare Corp,8,Y
2015691,Edwards Lifesciences  LLC,8,N
2016148,International Medication Systems Limited,8,Y
2023045,Michelson Laboratories Inc,8,
2114932, CARGILL INC  CAN Technologies Inc,8,N
2128592,Covance Laboratories Inc.,8,Y
2128592,Covance Laboratories Inc.,8,
2183828,Biotest Laboratories  Inc,8,N
2210844,Hoffmann La Roche Inc,8,Y
2220525,West-Ward Pharmaceuticals Corporation,8,N
2242829,Renaissance Lakewood LLC,8,N
2242843,Janssen Pharmaceuticals  Inc.,8,N
2250051,Ortho Clinical Diagnostics Inc,8,Y
2410662,Pfizer Inc.,8,Y
2410861,Auxilium Pharmaceuticals  Inc.,8,N
2416082,Novartis Pharmaceuticals Corp.,8,Y
2434835,Forest Research Institute  Inc.,8,Y
2510865,Lannett Company  Inc.,8,Y
2513291,Eurofins Lancaster Laboratories  Inc.,8,N
2571130,BioLife Plasma Services Lp,8,
3022820,Emerald Kalama Chemicals  LLC,8,
3071347,Puget Sound Blood Center and Program,8,Y
1000115163,Fresenius Kabi USA  LLC,8,N
1000117040,Particle Dynamics International LLC,8,
1000118998,Worldwide Clinical Trials  Inc.,8,Y
1000125183,Ventana Medical Systems Inc,8,N
1000140241,The American National Red Cross National Testing Laboratory,8,N
1000477302,Medtronic Sofamor Danek USA Inc,8,N
1000513172,Merck Sharp & Dohme Corp.,8,Y
1000520524,St. Vincent Hospital IRB,8,
3000211162,Gilead Sciences,8,
3000233845,Nelson Laboratories  Inc.,8,N
3002665992,Nulab  Inc.,8,
3002803444,Abbott Diabetes Care  Inc.,8,Y
3002806518,Boehringer Ingelheim Pharma Gmbh & Co Kg,8,Y
3002806821,N.V. Organon  ,8,Y
3002806873,Alkermes Pharma Ireland Ltd.,8,
3002809479,Nuvisan GmbH,8,Y
3002889358,ImClone Systems  LLC. d.b.a. Eli Lilly and Company,8,N
3002906944,Apotex Inc.,8,Y
3002942061,Janssen Ortho L.L.C.,8,Y
3003194366,ChiRhoClin  Inc,8,
3003542039,Frontage Laboratories  Inc.,8,Y
3003605121,Phoenix Children's Hospital,8,N
3003737189,NOVUM Pharmaceuticals Research Services,8,
3003863671,Linda Harper  M.D.,8,N
3003892973,Sun Pharmaceutical Industries (prev. Ranbaxy),8,
3003949440,Cordis Corporation,8,N
3004088125,Vital Diagnostics  Inc.,8,
3004365793,Purdue Pharma L.P.,8,
3004378927,Emcure Pharmaceuticals Ltd.,8,
3004520113,Sun Pharmaceutical Industries Ltd,8,Y
3004635528,Abbott Vascular,8,N
3004869520,Novum Pharmaceutical Research Services Inc,8,N
3005857148,APPLIED TECHNICAL SERVICES INC.,8,
3005893129,MVA Scientific Consultants Inc.,8,
3006323506,Lotus Labs Pvt. Ltd.,8,
3006355432,Mylan Laboratories Ltd,8,N
3006489197,Washington Homeopathic Products  Inc.,8,Y
3006649033,AXIS Clinicals Limited,8,N
3006810568,GlaxoSmithKline,8,N
3007240297,Synchron Research Services Pvt. Ltd.,8,
3007267856,Raptim Research Ltd.,8,
3007684569,Cadila Pharmaceuticals Limited,8,
3008063034,Bombay Bio-research Centre,8,
3008243902,Aizant Drug Research Solutions Pvt. Ltd.,8,
3008436464,Xttrium Laboratories  Inc.,8,
3008488237,Quintiles Drug Research Unit,8,
3009058074,Dr. Mario Iovino  MD,8,
3009836273,Darin B. Brimhall  D.O.,8,
1011574,Greer Laboratories Inc,7,N
1036352,VistaPharm  Inc.,7,Y
1049223,Ethicon  Inc.,7,
1077496,OneBlood  Inc.,7,
1122041,BioReliance Corporation,7,N
1211022,Pfizer Inc.,7,N
1216677,CooperSurgical  Inc.,7,Y
1220423,Genzyme Corporation,7,Y
1221426,Boston Analytical  Inc.,7,Y
1221955,Genzyme Corporation,7,N
1283703,Bristol-Myers Squibb Company,7,N
1310337,Wyeth Pharmaceuticals Inc.  a subsidiary of Pfizer  Inc.,7,N
1314666,Contract Pharmaceuticals Limited Niagara,7,N
1317757,Bristol-Myers Squibb Co.  Pharmaceutical Research Institute,7,N
1319349,ICON Laboratory Services  Inc.,7,N
1421377,Anderson Brecon  Inc. dba PCI of Illinois,7,N
1450022,Fresenius Kabi USA LLC,7,N
1450022,Fresenius Kabi USA LLC,7,Y
