Fer,Name,Lines,Value
1219590,Invacare_Corporation,35519,17596
3013299603,CARDINAL_HEALTH_CONVERTORS,34791,161159
3009173218,Igsg_Trading_Division_Llc,31782,319067
1000226327,Giftcraft_Inc,31029,3384
3005180351,Berry_Fresh_LLC,30120,57394
1000503115,Proctor_&_Gamble_Co,30000,355838
3003068013,Fortessa_Inc,29362,191126
3003822389,Functional_Gourmet_Foods_Inc,29321,372146
3013293021,CR_BARD_INC_,28767,38011
3002718498,GRE_Fulfillment_Inc_,28559,1590
3003474083,Marc_Anthony_Cosmetics,27763,58125
3013300273,HEINEKEN_USA_INCORPORATED,27621,2773887
3004961674,Furbo_Corp,24834,61047
3008532530,Mucci_International_Marketing_Inc,23002,306188
3012662137,FEDEX_TRADE_NETWORKS_T_&_B_INC,22373,44398
2240713,Oticon_Inc_,21604,108677
3001091612,Carillon_Importers_Ltd_,21350,23168858
1000118860,Edusa_Corporation,21185,177590
3012336771,VISTAPRINT_NETHERLANDS,20244,50
1043899,Sunbeam_Products_Inc_,19982,0
3000718233,Andrew_&_Williamson_Sales_Co__Inc_,19559,250945
3003857896,Sol_Group_Marketing_Company,19453,126100
1218950,Philips_Electronics_North_America_Corporation,18156,240792
2243253,Ferrero_USA_Inc_,17846,1501129
1000121950,True_World_Foods_of_NY_LLC,17420,3770
3003302216,G_S_P_M_Distribution_Inc,16926,33587
2020550,Karl_Storz_Endoscopy_America_Inc,16780,190931
3009465140,Highline_Produce_Ltd,16732,39056
3009387699,Ganz_U_S_A__LLC,16510,927
2024915,Ossur_North_America_Inc,16390,17733
3006422521,Cardinal_Health_Mfg__Llc,16136,826169
3005099803,Boston_Scientific_Corporation,15898,1078363
1000209501,Presteve_Foods_Limited,15639,16159
3000104403,Cavendish_Farms,15330,595408
1000595450,Farmer'S_Best_International,15327,491130
1525982,Wine_Art_of_Ohio_Inc_,15320,25259
1020279,Smith_&_Nephew_Inc_,15017,86507
3006264697,Orthotic_Group_Inc_The,14399,4250
3002477149,Altar_Produce_Llc,14254,255332
3003881541,Nestle_Waters_North_America_Inc_,13563,1215005
3000119435,Marshall'S_Of_Ma__Inc_,13453,60147
3006987085,1329729_Ontario_Ltd_dba_Westmoreland_Sales,13287,1
3003165446,Eikon_Device_Inc,13250,1293
3007869593,Dole_Fresh_Fruit_Company_10th_Avenue_Marine_Terminal,13129,348045
3002761012,Michel_Germain_Parfums__Q,13119,1278
3009943221,West_Pak_Avocado,13085,89524
3009646230,fgf_brands_inc,12752,316032
3003678553,7771998_Ontario_Ltd,12740,0
3003138575,Cosmair_Canada_Inc,12611,1
3012411436,DFS_NORTH_AMERICA,12441,7456
3011839637,Sun_Rich_Fresh_Foods_Inc,12412,26636
3004784988,Farmers_Fresh_Mushrooms_Inc_,12400,56724
3012353116,CIA_CERVECERA_DE_COAHUILA_S_A_DE,12249,1545902
1000151158,Alpine_Fresh_Inc_,12113,164015
3010417311,Wdfg_North_America_Llc,12014,5832
3011611755,Giftcraft_Inc,12001,1496
3006500617,Bonduelle_Canada_Inc_,11993,93911
3002634284,Pro-Amino_International_Inc_,11839,10845
3003837708,Yves_Rocher_Inc_,11709,0
3009569032,Ravisa_Brokerage_Llc,11627,246798
3001907047,Indel_Food_Products_Inc,11602,173934
2518040,Integra_York_PA_Inc,11530,21786
3003576074,Fempro_Inc,11482,75804
3009792804,Mondelez_Global_Llc,11246,1689095
3004932373,CareFusion_213_LLC,11239,205336
3008882653,Bosco_&_Roxy'S_Inc,11218,1348
1610287,Alcon_Research_Ltd_,11176,1192
3009221528,Kerry_Inc,10982,324811
3001573194,Lakeside_Produce_Inc_,10865,0
3010251782,Minute_Maid_Company_Canada,10847,76610
1628808,Ethicon_Endo-Surgery_Inc_,10831,572506
3004051454,Pure_Hothouse_Foods_Inc,10794,598
3000245309,Double_D_Sales,10682,11760
3007066875,Ventura_Corporation_Limited,10655,3688
2210968,Ethicon_Inc_,10444,204752
3004311376,Highline_Produce_-_Leamington_West_Farm,10407,28463
3002519584,Align_Technology_Inc,10297,23490
2000033307,Del_Fresco_Produce_Ltd_,10273,79860
3009997618,Joal_Produce_S_de_RL_de_CV,10176,4440
1000161215,Sanmina_Corporation,10135,10175
3007738749,Luxottica_North_America_Distribu,9869,6593
3006853544,Golden_Boy_Foods,9845,445590
3004348049,TIPPCON_LLC,9551,285425
3000953208,Les_Produits_Bridor_Inc,9490,33169
3000114352,Gourmet_Village,9409,831
3011044974,Heineken_Usa_Incorporated,9339,581918
3004333075,Tricar_Sales_Inc_,9224,270199
3004528294,Aldo_U_S__Inc_,9204,496
3003159380,Kamins_Dermatologics_Inc_,8992,2806
3012388428,FEDEX_TRADE_NETWORKS_T_&_B_INC,8806,8997
3012388409,FEDEX_TRADE_NETWORKS_T_&_B_INC,8746,27712
3000278113,Camp_Inc,8559,5701
3000119442,Promotora_Agricola_El_Toro_USA,8553,319571
3004065985,Henry_Schein_Inc_,8363,10406
3001136970,ADM_AGRI-INDUSTRIES_COMPANY,8304,394628
2242745,Conair_Corp,8245,1804883
3013111000,VILLAGE_FARMS_LP,8197,169517
3000310269,King'S_Pastry,8169,30509
2000037254,MASTRONARDI_PRODUCE-USA_INC_,8165,65069
3003413356,Biscuit_Leclerc_LTD,8165,44711
3000115970,Broda_Enterprises_Inc,7979,11387
3001395755,Benny_D'Angelo_Produce_Inc,7912,45037
3011293122,BARRAGAN_PRODUCE_S_DE_RL_DE_CV,7666,3613
3007459944,Labatt_Usa_Operating_Co_Llc,7638,123054
3008205735,NatureSweet_LTD,7504,772243
3004612704,Cover_FX_Skincare_Inc_,7420,496
2480525,Estee_Lauder_Inc,7387,47832
3008595572,Arizona_Beverages_USA_LLC,7368,124701
3002951223,Biosense_Webster_Inc,7329,260790
1000339499,Southern_Glazer's_Wholesale_Drug_Co_,7242,247025
3009611115,Global_Ocean_Trading_Llc,7159,2665
1219043,McCain_Foods_USA_Inc,7111,544436
3004253841,Marbran_USA_LTD,7092,134628
2316750,Wal_Mart_Stores_Inc,7045,416348
3008707555,Apex_Branded_Solutions,7014,23795
2124823,GE_Medical_Systems_Information_Technologies_Inc_,6989,141192
3000124553,Pinos_Produce_Inc_,6962,150404
3006692366,R_C__Purdy_Chocolates_Ltd,6928,854
1527736,Ethicon_Endo-Surgery_Inc,6913,368566
2024312,Kerr_Pentron_DBA_Kerr_Corporation_and_Pentron_Clinical,6884,1395
1812420,Michigan_Sugar_Co_,6732,6095
3003113629,Biosense_Webster_Inc_,6607,271268
3011604906,Flavour_Art_North_America_Inc_,6582,4256
3012679648,FORTESSA_TABLEWARE_SOLUTIONS_LLC,6567,62567
3000125612,Bmw_Of_North_America_Inc_,6540,0
1000279000,Zara_Usa_Inc_,6527,2261
1000246473,Giumarra_Of_Nogales,6475,365562
1522870,Reser's_Fine_Foods_Inc_,6445,54
3004251600,Veg_Pro_International_Inc,6365,59898
2020467,3M_Unitek_Corporation,6353,12843
3004496860,Bunge_Canada,6235,210983
3005747797,Teleflex_Medical,6209,12145
3000076698,Crofters_Food_Ltd_,6182,33357
3011197204,International_Flavors_&_Fragrances,6176,6236747
1940895,Anheuser-Busch_North_America,6173,678118
3010640816,Steeped_Tea,6067,122
3002794491,International_Farms_Services_Llc,6028,77564
3009977117,Midwest-Cbk_Llc,5985,0
1000118830,Vilore_Foods_Co_Inc,5982,340291
2240869,Siemens_Medical_Solutions_USA_Inc,5978,562810
3012413423,MEDTRONIC_LOGISTICS_LLC,5849,0
3002186834,Super_pufft_snacks_corp_,5846,54612
3008065279,Simport_Sientifique_Inc,5808,0
3004924605,Furlani's_Food_Corporation,5774,39150
3000157896,Marc_Riendeau_Inc,5749,12274
3003464075,NxStage_Medical_Inc_,5665,44240
3008646169,Bosco_and_Roxy's,5560,1078
3001976853,Driscoll's_Strawberry_Associates_Inc_,5496,80825
3012335710,TAYLOR_FARMS_DE_MEXICO_MANUFACTU,5417,39712
3007313976,Sweet_Seasons_Llc,5392,8718
3000119438,General_Medical_Systems,5388,44196
3009233449,Goodland_Global_Farm_Inc_,5356,5196
3000120524,Guinness_Import_Company,5263,511410
3015729,A-dec_Inc_,5258,1457
3003877630,Lush_Cosmetics_Llc,5248,2874
3009954431,Crown_Imports,5233,618928
3001050973,DMM_International_Inc_,5187,3402
3002760117,Fevisa_Industrial_Sa_De_Cv,5139,162900
3002601855,Lamb_Weston_Inc,5133,938061
3008954036,Barcel_USA_LLC,5096,198246
3008019952,Simport_Scientifque_Inc,5091,0
1000174027,Newton_Buying_Corp,5083,37018
3006806079,2168587_Ontario_Ltd__O_A_Upper_Crust,5055,107529
3003446361,O-I_Canada_Corporation,5008,8983
3000123509,Expo_Fresh_L_L_C,4971,24688
3003879246,Carefusion_Manufacturing_Llc,4965,700702
1000116158,Medtronic_Perfusion_Systems,4898,122069
3004483508,Baxter_Healthcare_of_PR_at_PR_Global_Logistic_Center,4891,0
3009740076,Kaliroy_Fresh_Llc,4878,294042
3003836386,Playtex_Prods_Inc,4876,195202
3012392849,RICH_BRANDS_LLC,4872,2070
1000636777,Marine_Harvest_USA_LLC,4868,449617
3000206055,Dell_Computer_Corp,4843,3641
3007996060,Tipp_Distributors,4834,138650
2120825,Bay_Valley_Foods_LLC,4827,28077
3010050323,Canam_Pet_Treats_Inc,4768,9366
3000324245,Jinon_Corp_DBA_Nijiya_Market,4717,10624
1053492,The_Coca-Cola_Company,4701,203294
2211423,Firmenich,4691,90248140
1000655214,The_Hershey_Company,4690,116571
3000719242,Ocean_Group_Inc__dba_Ocean_Fresh_Fish_&_Seafood_Marketing,4684,2054
3004041493,Kinnikinnick_Foods,4645,36087
2217809,Sivantos_Inc_,4514,1198
3006713310,Evergreen_Consumer_Brands_Ulc,4509,36301
3003602479,Agricola_El_Rosal_S_A_de_CV,4487,200790
3002876007,Symak_Sales_Inc,4476,126
3008085326,Viqua,4470,2237
1000437529,Jacobs_Farm__Del_Cabo,4456,30770
3001046283,Fiera_Foods_Company,4412,116686
3009908734,GMCR_CANADA_HOLDING_INC_,4341,17088
1021184,Revlon_Inc,4316,2337789
3002951228,Hunter_Amenities_International_Limited,4294,47836
3000170182,Wal-Mart_Distribution_Center__6097,4274,82387
2518422,Philips_Respironics_Inc_,4225,179106
3003463725,Nature_Fresh_Farms_Inc,4219,0
3011067496,International_Marine_Products_Inc__Los_Angeles,4217,1652
3010479578,GREAT_LAKES_MUSHROOM_INC,4174,75
3011958584,The_Orthotic_Group,4173,2807
3009875771,Nats_Veggies_SPR_De_RL_De_CV,4162,1929
3003821999,For_Paws_Services_Inc_,4123,36859
3002316185,Shandex,4090,115
2429408,Central_Boeki_U_S_A__LTD_,4069,2202
3000284571,Syncor_International_Corp,4054,9118
3005398642,KINGDOM_FRESH_PRODUCE_INC_,4046,54649
3012211633,Weetabix_Co_,4026,53731
1000371540,Amoco_Produce,3973,0
3010044404,TWI_Foods_Inc_,3955,26532
3002701875,Mastronardi_Produce,3949,144350
3012389844,FEDEX_TRADE_NETWORKS_T_&_B_INC,3922,4146
3012421938,METROPOLITAN_TEA_COMPANY,3912,814
1000125840,3M_Company,3908,84716
3008403546,Centurion_Medical_Products_Corporation,3900,190
3009195256,Sofia_Produce_Llc,3889,131189
3002923538,Intel_Americas_Inc,3885,1198667
3002920072,Animas_Corporation,3845,7254
3007499191,Mirasoles_Produce_Usa_Llc,3816,14421
3004271032,Cott_Beverages,3784,3761
3003146529,Pride_Pak_Canada_Ltd_,3761,61437
3006341426,Royal_Canin_USA_Inc,3755,0
3004816508,Geloso_Beverage_Group,3723,83857
3003259918,La_Nassa_Foods_Inc,3689,2888
3006048881,Cisco_Systems_Inc_,3675,158677
2911502,Del_Monte_Foods_Inc_,3651,910508
3001236905,Cardinal_Health_200_LLC,3646,57129
3000301420,Steelite_International_USA_Inc,3637,101403
3012357186,TELEFLEX_MEDICAL_INC_,3586,122075
3005766951,Csc_Sugar_Llc,3533,263916
3012190138,Medtronic_Inc,3499,12975
3012232153,LUSH_COSMETICS_NY_LLC,3490,2342
3003166194,Medtronic_Inc_,3468,2334
1043582,Microtek_Medical_Inc,3447,1
3012083089,STRYKER_CRANIOMAXILLOFACIAL,3413,9801
3000097333,Delmar_Commodities_Ltd,3404,86070
3003016716,Chiquita_Brands_International_Inc_,3364,567569
3007293274,BMW_OF_NORTH_AMERICA_LLC,3364,0
3004297235,Western_Harvest_Gardens_Inc,3352,28849
3012423608,FLAVOUR_ART_NORTH_AMERICA_INC,3344,4603
1000125301,True_World_Foods_LLC,3333,819
1811755,Stryker_Instruments_Div__of_Stryker_Corporation,3318,70538
3001854601,London_Agricultural_Commodities,3304,170211
3009187070,The_Metropolitan_Tea_Company,3297,722
3012682801,FEDEX_TRADE_NETWORKS_T_&_B_INC,3293,5247
3001640604,Stryker_Medical,3269,2092
3008805621,LA_PRADERA_MIXTECA_S__DE_P_R__DE_R_L_,3243,14013
3004382540,Franks_Distributing_of_Produce_LLC,3242,116822
3006628920,Sunfed_Produce_Llc,3228,71340
3003233288,W_&_H_Impex_Worldwide,3215,3611
3007138988,AMG_Medical_USA_INC,3212,1161
2916967,True_World_Foods_San_Francisco_LLC_,3210,916
3000099306,UPPER_CANADA_SOAP_&_CANDLE_MAKERS,3178,279
3004448624,Surati_Sweet_Mart_II_LLC,3151,14321
2000002612,BCS_PRODUCE_INC_,3150,31264
3004541315,Sweden_Diagnostics_Us_Inc_,3132,45866
3011074603,MJ_Brothers_Services_Inc_,3129,168356
3010142182,Especies_y_Hortalizas_Solorio_S_de_RL_de_CV,3041,908
3001117353,Big_Chuy_Distributors,2988,111534
3001242335,Arcona_Health_Inc,2977,0
3012562226,AESCULAP_INC,2959,1274
3003000304,Frozsun_Foods,2952,104416
3002849848,Sephorausa_Llc,2942,17891
3001341772,Walong_Marketing_Inc_,2902,30681
3000234801,A__Lassonde_Inc_,2892,1
3003654058,Ayco_Farms_Inc,2856,90334
2018211,Henry_Avocado_Corporation,2852,301320
1025346,Coty_US_LLC,2851,181
3003117567,Givaudan_Fragrances_Corp_,2849,978541
3003487294,Pacific_Device_Inc,2831,290400
3001226958,Vernico_Products_Ltd,2828,0
3008523513,Pinnacle_Food_Group_Llc,2824,381038
1000138452,Cabelas_Inc,2792,4245848
1417572,Baxter_Healthcare_Corporation,2773,171429
3000133697,Vanderveen_Commodity_Service,2773,50991
3009492556,Ocean_Providence_Las_Vegas_LLC,2761,491
3011448054,Nespresso_Usa,2740,99568
1220326,The_Weetabix_Company_Inc_,2734,34787
3012092220,ZARA_USA_INC_,2706,711
1642434,GM_Produce_Sales_LLC,2704,810
3012450839,LAKESIDE_PRODUCE_INC,2704,28301
3009985104,Steeped_Fine_Loose_Teas_&_Accessories_Inc_,2681,55
3001603908,Wildly_Delicious_Preserve_Co,2680,790
3003958947,Double_Diamond_Sales_Inc,2679,37100
3003072887,Pier-C_Produce_Inc,2677,31200
3005135022,CHS_Inc_,2677,78178
3004396250,Organic_Connections_Ltd_,2634,947
3019123,Pacific_Seafood_Co__Inc_,2629,117528
3003916594,Jem_D_International,2626,0
3012385329,MINUTE_MAID,2581,21909
3007300476,Curtis_International_Ltd,2574,11333
3007750690,AgroCrop_Exports_Ltd,2560,62450
3004334005,Rio_Grande_Okra_Sales_Inc,2543,2998
3003144708,Ad-N-Art,2538,7
2025938,H_M_Distributors,2531,60728
3001583885,Cosmair_Cosmetics_Corp_,2525,1000
3011280743,Cindys_Organics_S_de_RL_de_CV,2525,1552
3004383416,J-C_DISTRIBUTING_INC_,2499,87869
3003363795,Rogers_Choclate,2490,420
3012265361,AGRICOLA_COLONET,2480,24834
3001654175,organicgirl_LLC,2471,8621
3004084248,Western_Waffles,2464,29900
3002737156,GE_Medical_Systems_Information_Technologies,2427,59028
3001231365,Dudson_USA_Inc,2423,2759333
1000525577,Southern_Glazer's_Wine_and_Spirits_LLC,2422,619260
3003322726,Premier_Gift_Ltd,2407,3
1000111418,David_Oppenheimer,2405,154157
3000143692,Sun_And_Sands_Enterprises,2400,58358
1000584372,Better_Life_Products_Co,2391,996
3003444339,Bridor_Inc_,2374,50
3004297160,Calavo_Growers_Inc__Corporate_,2366,163940
3007883330,Red_Blossom_Sales_Inc_,2365,60720
3009404468,MGPI_of_Indiana_LLC,2333,185951
1000121908,Yama_Seafood_Inc_,2331,444
3011198986,Delicias_Del_Contry_Usa_Inc,2327,313
3004258604,Diazteca_Co_,2322,64572
3004613105,Now_Designs_Inc,2319,188
3000240648,Huron_Produce_Ltd,2317,0
3011463236,Kresco_Llc,2309,957
3005525927,Cafe_Vittoria_Inc,2306,7742
3010492039,Golden_Fields_S_De_Rl_De_Cv,2303,41605
1219656,Ocean_Spray_Cranberries_Inc_,2288,59523
3002761244,Brainlab_Inc_,2287,1380
1000172679,C_H_Robinson_International_Inc,2286,137679
3002809369,Natus_Neurology_DBA_Excel_Tech__Ltd__XLTEK_,2278,0
3003955160,Styrker_Instruments,2272,30958
3000120632,Marukai_Corp,2270,2840
3001451366,Patheon_Softgels_Inc__Formerly_Banner_Pharmacaps_Inc__,2255,59523666
3003143129,Urban_Juice_&_Soda_Co,2246,29269
3000210133,Leica_Microsystems_Inc_,2229,19906
3005436078,CLT_Logistics_Inc_,2219,6686
3011264278,Equipements_De_Cuisine_Novon,2219,99
3006979574,Vitelle_Dermatology_Laboratory_I,2217,0
3004290622,RENE_PRODUCE_L_L_C_,2207,101712
3003171995,Sun_Rich_Fresh_Foods_Inc,2206,8737
3004468290,Thompsons,2202,64888
2243072,Becton_Dickinson_&_Company,2201,733161
3007833933,Infinite_Herbs_LLC,2183,7755
3004926980,United_Parcel_Service-Oregon_Avenue,2151,1862
3003070421,Howmedica_Osteonics_Corp_,2149,7316
3005258716,Sunforce_Products_Inc,2133,0
3004299441,King's_Pastry,2122,12389
3006295939,Broda_Enterprises,2117,8506
3004267370,Coca-Cola_Refreshments_USA_Inc_,2115,78509
3010282887,Fruits_&_Passion_Boutiques_Inc,2114,0
3012213932,Erwin_Hymer_Group_North_America,2111,50
3003901328,Collega_International_Inc_,2104,829
3004710133,Freska_Produce_International_Llc,2099,290288
3012613739,EIKON,2099,234
3002777604,Lothantique_Inc,2095,0
1035048,GlaxoSmithKline,2091,1332939
3000264930,Panasonic_Consumer_Electronics,2087,32196198
1000195421,Del_Campo_Supreme_Inc,2083,39927
2000042728,Boulart_Inc_,2083,15
3000169123,W_G_Thompson_&_Sons,2068,113809
1710034,Becton_Dickinson_Medical_Systems,2060,146990
3000205418,Cigarroa_Dispatch_Co,2058,63897
1000511528,True_World_Foods_Atlanta_LLC,2056,372
1000519909,Ossur_Americas,2052,173
3002784200,Index_Fresh_Inc_,2050,62760
3001345292,T_H_E_Medical,2048,0
3012367399,PINNACLE_COSMETICS,2041,574
3012423827,FEVISA_INDUSTRIAL_S_A__DE_C_V_,2037,63713
3007980737,Avomex_Inc__dba_Fresherized_Foods,2034,104279
3010970654,Coty_Us_Llc,2033,55
3000224566,Bauscher_USA_Inc,2017,191965
3002675785,United_States_Beverage,1980,22274
3000124928,Alliedsignal_Engines,1975,153234
3005900820,Cochlear_Americas_Inc_,1974,4343
3009989979,Canus_Usa_Inc,1964,0
3000273705,Starbucks_Coffee_Co,1957,1487842
3008046304,Markwins_Beauty_Products,1955,22562
3003574006,Pacific_Marketing_Alliance_Inc,1944,4268
3011104115,DUTY_FREE_AMERICAS_MIAMI_LLC,1944,15
3002111179,Miami_Agro_Import_Inc_,1943,67098
3011601186,Berry_Fresh_Produce_Llc,1937,2840
1640900,Frito-Lay_Inc,1930,12664
3000210483,Cropper_Medical_Inc,1924,416
3000000775,Ingredion_Incorporated,1916,226432
3010734212,Duty_Free_Americas_Miami_Llc,1915,15
1513606,KAO_USA_Inc,1893,72633
1810148,Kellogg_Company,1889,617390
3011941059,Mccain_Foods_Usa_Inc-Lisle,1884,191074
3010536479,Voreia_Industries_Inc,1881,0
3007874150,Air_Cruisers_Company_LLC,1878,185
3009687469,Indaba_Trading_Ltd,1868,0
3011657602,Ubaldo_Gomez,1862,474
3009537843,Interex_Corporation__________________S,1859,91036
2020282,Precision_Dynamics_Corporation,1855,487
3007457968,Eagle_Eye_Produce,1855,83933
3000278777,Concord_Elevator_Inc,1842,0
3004613907,Wal_Mart_Stores_Inc,1831,26636
3011526971,Geloso_Beverage_Group,1831,4116
3012082603,VEG_PRO_INTERNATIONAL_INC,1823,72786
3022798,Melaleuca_Inc,1817,422
3006534605,Sweet_Garden_Farm,1814,644
1000457397,Nespresso_Inc,1810,359518
3008261469,Monaghan_Mushrooms_Ltd,1809,395
3004448835,Rogers_Worldwide_Import_Services,1807,57
3011039824,Olympus_Corporation_Of_The_Ameri,1798,41646
3004932963,Harford_Metalware_Limited,1770,204818
3003082851,Cheezwhse_Com,1753,760
3011778278,Bbo_Glass_Solutions_Llc,1745,197293
3000125879,Turbana_Corporation,1726,133277
3011311223,C_V_L_Cosmetics_North_America_In,1725,1
3000140776,Lowell_International_Company,1724,1503
3005224162,Sick_Inc,1723,20600
2618677,Baxter_Healthcare_Corporation,1721,0
2518433,Arrow_International_Inc,1718,4169
3005043090,National_Marrow_Donor_Program_IRB,1704,27000
3007858001,INTERAMERICAN_FOODS_CORPORATION,1702,17597
3012421607,GLOBAL_DENTAL,1700,0
3009479593,Care_Fusion,1687,26410
2018570,Nestle_USA,1686,242964
1000115734,Resmed_Corporation,1685,441597
3011803547,Alebrije_Imports_Inc_,1679,494
2000007143,Compass_Wine_Group_Inc_,1672,239
3010192718,Richardson_Milling_Limited,1662,207704
3011501362,Susanne_Lang_Fragrance_Inc_,1662,0
3003624302,Richemont_North_Amer_Inc,1660,72
3008705924,World_Customs_Brokerage,1657,369
2245264,BMW_of_North_America_Inc_,1654,392333
3000029582,St__Jean's_Coast_Mountain_Resources_Ltd__dba_St__Jean's_Ca,1648,808
3010251776,Nutriva_Group_Holdings_Ltd,1647,5035
3012265791,PRODUCTORA_AGRICOLA_HERMANOS_MAG,1643,3810
2000000284,Storck_USA_L_P_,1639,16180
3004398039,IPR_Solutions_LLC,1639,25442
3002923549,Masterstouch_Brand_LLC,1638,57142
3002604922,Cafe_Vittoria_Inc,1631,4670
1000125781,Cardinal_Health_414_LLC,1625,5460
3008619458,Bfg_Canada_Ltd,1613,21604
3000215464,Azteca_Milling_Lp,1590,92265
3004262485,GR_Produce_Inc,1588,126945
2025708,Circle_Produce_Co_Inc,1584,19836
1000522877,Pacific_Hi_-_Tak_Inc,1580,622
1000512345,True_World_Foods_DC_LLC,1578,197
3000123818,General_Electric_Co_Lighting_,1573,11837
3011955079,J_B_LAVERDURE_INC,1564,16750
1000519289,Integra_Biotechnical_LLC,1559,41
3010628803,Agt_Clic_Foods_Inc,1557,13222
1035316,Goya_Foods_Inc_DBA_Goya_Foods_of_Florida,1552,175075
3011183157,Comercializadora_Agreste_Sa_De,1545,13200
1527009,Andersons,1539,117378
3000104606,Summer_Fresh_Salads_Inc,1537,25905
2916714,Aesculap_Implant_Systems_LLC,1532,840
3008250494,Alliance_Pulse_Processors_Inc,1531,17637
1618783,Pier_1_Imports_US_Inc,1519,570
3001576105,Lapaco_Paper_Products_Ltd,1518,0
1720217,ADM_Inc_,1514,62975
3007543230,Ikea_Supply_Ag,1512,17423
1000631959,Home_&_Park_Motorhome,1503,50
3000133341,Family_Tradition_Foods_Usa_Inc,1495,2755
3012359316,LUXURY_DISTRIBUTION_INC,1495,83
1000537142,Crystaline_Cosmetics_Inc,1493,10542
3000165169,W_D_Potato_Co_Ltd,1493,4230
3008009429,Marengo_Foods_Company_Llc_,1490,68882
3005223271,Sunrise_Produce_LLC,1489,54780
3002868155,Pacific_Trellis_Fruit_Llc,1480,22091
3004283794,Calavo_de_Mexico_S_A__de_C_V_,1476,132399
3002828592,Richardson_International_Limited,1469,40637
3006535976,FIBERLINKS_TEXTILES_INC_,1468,0
3012061068,MANILDRA_MILLING_CORPORATION,1460,281553
3012107032,SWEET_SEASONS_LLC,1451,2196
3000956985,Wiet_Peeters_Farm_Products_Limited,1445,0
3002861073,Amd_Ritmed,1440,0
3007521463,MKK_Import,1439,1595
3003313954,Hds_Retail_North_America,1438,0
3003442380,Unomedical_Device_S_A__de_C_V_,1437,383277
3004973408,Phadia_US_Inc,1428,15863
2020982,Trader_Joes_Company,1426,382196
3011900875,Fempro_Consumer_Products_Ulc,1425,15680
3013293944,GREAT_LAKES_MUSHROOMS_INC,1413,638
3006329724,Altiza_Inc_,1401,19610
3003342138,Bounty_Fresh_Llc,1397,128860
3001551288,Nowell_Borders_L_P_,1394,14893
3003097690,La_Galvanina_S_p_A_,1390,122700
1811666,L__Perrigo_Company,1387,2266317
3012385984,CIA_CERVECERA_DEL_NOROESTE_S__DE,1372,252489
1000639819,Thought_Technology_Ltd_,1367,0
3010987068,Premiere_Moisson_Group_Inc_,1366,158493
3012238851,POCAS_INT'L_CORP,1361,15315
3008584770,Erc_Trade_Llc,1360,40352
1625385,Fresenius_Medical_Care_North_America,1357,401618
3009879611,RANCHO_6_HERMANOS,1355,4364
3012120321,WAL-MART_STORES_INC_,1353,224329
2126670,Scanlan_International_Inc,1348,213
3003629010,Eau_Zone_Huiles_Et_Fragrances_Lee,1348,773
3008594468,Danone_Waters_Of_America_Inc,1348,90822
3000225182,Weddingstar_Inc,1343,219
1023807,Sazerac_North_America_Inc,1340,108848
3003724692,Thierry_Rugger_Inc,1337,1591
3004803201,Frontier_Japan_Inc_,1333,123
3004548854,Guerlain_S_A,1327,28
3003107340,Humpty_Dumpty_Foods_Ltd,1323,8904
3004285153,Le_Best_Banana_Supply_Co_Inc,1321,14016
3001598409,Crown_Cork_&_Seal_Co,1316,132923
3005041486,Starkey_Labs,1307,0
1000307761,True_World_Foods_Miami_LLC_,1291,425
